mode,K_per_yr,A_per_yr,cost_per_yr,annual_pmt,cost_per_pmt,cost_per_pmt_fatal_only,cost_per_pmt_lo,cost_per_pmt_hi,cost_per_resident
vehicle_occupant,229.27536231884056,2141.159420289855,5929504376.811594,55979067403.21,0.10592360058630736,0.05611155400541734,,,1709.3470402363173
motorcycle,101.01449275362319,384.92753623188406,1885189681.1594205,,,,,,543.459148858352
walk,132.6086956521739,233.6231884057971,2120986608.695652,,,,11.565956120556304,12.487654382855848,611.4342703132091
bike,40.14492753623188,183.04347826086956,788363028.9855072,,,,9.592641384458352,11.79429976265089,227.2679004164488
