roadway,begin_post,end_post,facility,match_m,class_is_a_guess
10000619,0.339,0.591,minor arterial,18,no
15000117,0.0,4.607,minor arterial,38,no
10040000,8.979,9.493,principal arterial,21,no
14090000,21.704,22.458,minor arterial,73,no
08030000,2.082,6.667,principal arterial,24,no
10010000,15.693,16.289,principal arterial,51,no
10020000,2.336,2.961,principal arterial,225,no
10000125,0.0,4.046,collector,76,no
14000023,0.325,1.426,collector,414,no
14050000,3.067,3.764,principal arterial,132,no
10040000,0.837,1.149,principal arterial,7,no
15010101,0.76,1.216,principal arterial,25,no
15010000,13.518,14.034,principal arterial,12,no
10821500,0.66,1.748,minor arterial,174,no
10514000,0.0,0.828,collector,355,no
10210502,0.0,7.249,collector,523,yes
14050000,16.633,19.479,principal arterial,369,no
10090000,14.111,14.61,minor arterial,17,no
14000105,2.174,3.038,collector,131,no
10040000,6.191,7.199,principal arterial,26,no
10200000,1.242,1.847,principal arterial,143,no
14570000,2.72,3.109,principal arterial,32,no
10090000,7.738,11.362,minor arterial,43,no
10290000,0.0,0.255,principal arterial,61,no
10501000,0.0,2.031,collector,76,no
15000039,0.0,2.419,collector,85,no
08070000,7.026,8.543,freeway,20,no
10000144,0.0,2.353,collector,99,no
08630000,0.0,6.824,collector,1217,yes
10000035,0.0,2.192,collector,4,no
15000146,0.0,5.772,collector,64,no
02000003,0.0,5.379,collector,1398,yes
15090500,0.0,3.386,collector,104,no
10250001,0.203,1.315,principal arterial,86,no
15000204,0.0,2.566,freeway,58,no
15040000,3.441,4.44,principal arterial,11,no
10310000,5.858,6.863,principal arterial,20,no
10030000,18.061,19.174,principal arterial,248,no
10075069,0.08,1.782,collector,242,no
02000010,2.681,5.118,collector,203,no
10190071,0.0,0.312,freeway,47,no
02600000,0.0,2.502,collector,381,no
08550000,0.0,3.385,minor arterial,718,yes
02040000,0.137,5.44,principal arterial,606,yes
08020000,4.76,6.445,freeway,46,no
10150000,8.412,9.484,principal arterial,27,no
15000026,0.0,1.6,collector,116,no
14120000,0.0,2.012,principal arterial,23,no
15501500,0.0,1.932,minor arterial,85,no
