roadway,begin_post,end_post,facility,match_m,class_is_a_guess
10010000,22.51,24.058,principal arterial,67,no
14000076,0.0,6.613,freeway,585,yes
02050000,17.626,21.762,freeway,165,no
15010000,17.066,21.212,collector,70,no
15150000,25.839,27.662,freeway,34,no
08508000,0.0,5.292,minor arterial,497,no
10000090,0.0,3.753,minor arterial,29,no
10000645,2.693,6.042,freeway,222,no
14000114,0.0,7.845,minor arterial,696,yes
15150000,9.23,11.096,freeway,17,no
10780000,0.0,5.522,minor arterial,1175,yes
14090000,1.786,3.631,freeway,29,no
14010000,4.976,6.653,principal arterial,21,no
15150098,0.0,6.746,collector,77,no
08000043,0.0,6.356,collector,634,yes
14120000,9.257,11.515,principal arterial,155,no
10340000,3.317,4.31,principal arterial,8,no
15100000,2.202,4.023,principal arterial,96,no
14570000,4.344,4.913,principal arterial,11,no
10030102,0.0,0.964,freeway,37,no
10002000,5.111,5.5,minor arterial,29,no
15000044,0.0,2.544,minor arterial,155,no
10130000,9.137,10.033,principal arterial,10,no
14610000,0.0,1.004,minor arterial,70,no
02050000,11.514,13.564,freeway,73,no
14572000,0.422,1.774,principal arterial,15,no
10180500,0.0,4.506,minor arterial,151,no
15140501,0.0,3.12,principal arterial,211,no
14090000,9.312,11.635,principal arterial,120,no
10700000,5.117,12.971,minor arterial,120,no
15150000,8.843,9.23,freeway,16,no
02505000,0.0,10.803,minor arterial,375,no
15120000,4.545,6.053,principal arterial,42,no
10075000,21.665,22.862,freeway,72,no
15002000,0.049,0.705,freeway,24,no
10190007,0.0,0.317,freeway,48,no
08020000,13.975,19.514,collector,1262,yes
10310000,4.847,5.461,principal arterial,5,no
10000150,0.0,2.4,collector,275,no
14070000,5.35,8.183,principal arterial,57,no
15150000,22.551,24.58,freeway,13,no
10075000,20.081,21.665,freeway,36,no
10530000,0.0,20.553,minor arterial,144,no
15120000,11.472,12.913,principal arterial,7,no
14560000,1.02,6.651,minor arterial,1157,yes
10010000,24.816,25.614,principal arterial,19,no
10010000,25.614,26.253,principal arterial,43,no
15150200,0.027,4.987,principal arterial,90,no
10000363,0.0,3.56,minor arterial,35,no
02050000,13.564,15.906,freeway,196,no
14590000,0.0,1.461,minor arterial,84,no
10110000,9.706,11.456,freeway,33,no
14510000,0.0,2.248,minor arterial,413,no
10190000,12.858,13.947,principal arterial,97,no
15000445,0.0,4.141,collector,378,no
10330000,4.654,6.169,principal arterial,16,no
15150000,0.867,1.874,freeway,39,no
10620000,0.0,12.71,collector,1210,yes
10525000,0.0,4.2,minor arterial,3,no
02050000,7.31,11.514,freeway,146,no
14120000,23.381,26.634,principal arterial,506,yes
15150000,1.874,2.879,freeway,3,no
15200001,0.0,1.424,principal arterial,153,no
14571000,0.0,2.945,principal arterial,147,no
02520000,2.366,11.897,minor arterial,1763,yes
10000374,0.811,3.258,collector,100,no
08010000,4.498,7.678,principal arterial,391,no
14090000,4.641,9.312,collector,154,no
02100000,0.0,3.382,freeway,124,no
10000366,0.0,2.265,minor arterial,28,no
15150000,31.275,33.146,freeway,56,no
10000129,0.0,2.746,collector,70,no
02000012,0.0,3.573,principal arterial,1198,yes
10320000,0.171,0.472,freeway,17,no
02000045,0.0,5.857,collector,1325,yes
10040000,9.493,11.166,principal arterial,70,no
10060000,12.516,14.269,principal arterial,117,no
15000008,0.0,2.531,minor arterial,114,no
02080000,0.0,25.621,minor arterial,1155,yes
14140000,0.242,1.358,freeway,13,no
14000042,0.0,2.55,collector,101,no
10005000,1.837,2.845,principal arterial,14,no
10000020,1.534,9.624,collector,1756,yes
08505000,0.0,6.805,collector,123,no
10030002,0.0,1.127,principal arterial,24,no
10000153,0.0,2.832,collector,315,no
15120000,1.192,2.25,principal arterial,35,no
14000025,0.0,2.444,collector,522,yes
10080000,1.736,2.622,principal arterial,8,no
08050000,6.117,10.312,freeway,141,no
02010000,23.552,29.816,collector,649,yes
10110000,7.936,8.942,freeway,37,no
14570002,0.176,1.66,principal arterial,211,no
14000069,0.165,6.863,collector,857,yes
15514000,0.0,5.074,minor arterial,32,no
10508000,0.0,10.954,minor arterial,572,yes
15560000,0.0,5.84,minor arterial,336,no
10110000,8.942,9.439,freeway,2,no
14000049,0.0,9.322,minor arterial,217,no
10075000,6.473,13.089,freeway,201,no
15120500,0.0,1.571,minor arterial,9,no
14010000,9.868,11.342,principal arterial,211,no
08040000,1.377,3.877,freeway,558,yes
10000191,0.0,1.672,principal arterial,94,no
10000132,0.0,3.023,collector,239,no
10000007,0.0,2.513,minor arterial,28,no
08070000,4.065,7.026,freeway,377,no
10000367,0.073,3.368,collector,185,no
10310000,1.315,2.817,principal arterial,275,no
10080500,0.0,3.077,minor arterial,231,no
10190000,15.88,17.423,freeway,23,no
10000645,7.76,9.715,minor arterial,166,no
10000028,2.455,4.354,minor arterial,70,no
15000320,0.0,2.713,collector,86,no
08000019,0.0,4.185,collector,365,no
10330000,2.135,3.15,principal arterial,42,no
08000017,0.0,4.161,freeway,732,yes
10002000,1.5,2.123,freeway,106,no
15000305,5.537,9.527,minor arterial,252,no
10091000,0.0,6.904,principal arterial,66,no
15190000,5.27,6.296,collector,25,no
14090000,0.0,1.786,freeway,131,no
10190000,24.713,26.776,freeway,38,no
10060000,9.184,12.516,principal arterial,29,no
10470000,4.127,4.551,freeway,30,no
10000010,0.0,6.296,collector,170,no
15030000,2.888,3.557,principal arterial,67,no
02060000,0.0,4.031,minor arterial,680,yes
10310000,0.0,1.315,principal arterial,76,no
10000185,0.0,3.048,collector,449,no
15004503,0.0,3.61,minor arterial,60,no
10075324,1.214,2.727,freeway,80,no
14120000,2.012,3.028,principal arterial,147,no
10000504,0.0,8.863,minor arterial,447,no
02000021,0.0,3.13,collector,100,no
08000036,0.0,2.469,collector,216,no
10190000,17.423,21.163,freeway,249,no
15040000,5.732,9.443,freeway,146,no
02000027,0.0,3.073,collector,331,no
10000611,0.0,1.863,collector,8,no
08470000,3.46,7.258,freeway,244,no
15020000,9.309,11.556,minor arterial,38,no
08020000,0.0,1.087,freeway,56,no
10190000,2.153,2.613,freeway,121,no
10150000,7.028,8.412,principal arterial,31,no
10160000,2.969,4.818,principal arterial,35,no
10075000,16.508,20.081,freeway,175,no
14000048,0.0,3.915,principal arterial,97,no
14000121,0.0,2.452,collector,446,no
10150000,1.84,3.46,principal arterial,17,no
10120000,5.042,6.07,minor arterial,158,no
15000457,0.0,2.673,minor arterial,324,no
08070000,0.0,4.065,freeway,138,no
15520000,0.0,5.168,collector,145,no
08000040,0.0,10.174,collector,1909,yes
08000042,0.0,2.778,collector,353,no
15150000,13.04,13.578,principal arterial,24,no
15000289,0.0,3.711,collector,472,no
15510000,2.779,8.963,principal arterial,142,no
10000379,0.0,3.162,collector,292,no
15230000,2.171,3.26,principal arterial,14,no
10130001,0.0,2.96,freeway,685,yes
14010000,3.919,4.976,principal arterial,44,no
15070000,1.782,2.797,minor arterial,60,no
02030000,20.742,25.107,freeway,343,no
10140000,0.0,5.012,freeway,379,no
08040000,7.049,9.862,freeway,318,no
14050000,9.103,11.342,principal arterial,142,no
15080000,1.006,2.127,principal arterial,12,no
10010000,14.175,15.693,principal arterial,31,no
14000053,0.0,3.528,collector,355,no
15150000,15.306,16.803,freeway,18,no
14000045,0.0,5.578,minor arterial,175,no
15100000,4.97,7.289,principal arterial,118,no
10190000,10.533,12.006,freeway,296,no
02010000,18.475,23.552,principal arterial,264,no
10000271,0.0,3.029,collector,82,no
10680000,1.611,4.021,minor arterial,24,no
10536000,0.0,2.534,minor arterial,114,no
14140000,18.885,20.352,freeway,147,no
10010000,11.171,14.175,principal arterial,110,no
10540000,0.0,11.845,minor arterial,204,no
14571000,6.515,8.289,freeway,133,no
15061000,0.0,0.942,principal arterial,45,no
15080000,0.0,1.006,principal arterial,26,no
15012500,0.0,2.945,principal arterial,254,no
14610000,2.626,4.509,principal arterial,198,no
14510000,2.248,12.088,minor arterial,362,no
02000056,0.0,7.969,collector,230,no
14140000,11.477,18.885,freeway,304,no
15150000,11.096,13.04,principal arterial,38,no
15120000,7.209,8.114,principal arterial,25,no
14110000,0.0,2.742,principal arterial,96,no
10517000,0.0,2.653,collector,225,no
10110000,5.048,6.314,principal arterial,105,no
10320000,4.311,5.008,freeway,4,no
10690000,0.0,8.597,minor arterial,158,no
10000028,0.0,2.455,collector,275,no
10630500,0.0,3.635,collector,123,no
15190000,6.296,7.322,collector,69,no
15501000,1.932,4.043,minor arterial,15,no
10190000,26.776,27.982,freeway,166,no
15000028,0.0,10.663,collector,198,no
15190000,2.555,3.555,collector,13,no
15000317,0.0,2.503,collector,28,no
10060000,22.033,23.547,principal arterial,27,no
15190000,12.477,13.785,freeway,34,no
15190000,3.555,4.506,collector,70,no
14091000,0.761,1.487,freeway,53,no
10130000,10.033,11.05,principal arterial,3,no
10002000,12.982,13.776,freeway,33,no
10110000,7.08,7.936,freeway,22,no
10330000,3.15,4.654,principal arterial,119,no
10525000,4.2,5.761,minor arterial,26,no
14000155,0.0,1.816,freeway,1175,yes
10320000,6.517,7.526,freeway,37,no
10075323,0.0,2.631,freeway,87,no
14571000,3.282,4.427,freeway,61,no
10190000,0.0,2.153,freeway,57,no
10290000,2.036,4.019,principal arterial,6,no
10000222,0.0,2.188,collector,117,no
14140000,4.848,11.477,collector,47,no
10270118,0.396,1.642,freeway,121,no
10680000,0.0,1.611,principal arterial,174,no
15120000,2.25,4.035,principal arterial,113,no
10075000,27.118,31.196,freeway,81,no
14030000,3.028,4.176,freeway,85,no
10000087,0.0,3.749,collector,126,no
15000186,0.0,6.246,principal arterial,11,no
10580000,0.0,9.91,collector,1353,yes
10000019,0.0,8.409,collector,474,no
14000112,0.0,4.78,collector,136,no
10075000,32.305,36.252,freeway,147,no
10320000,5.008,6.517,freeway,5,no
08470000,7.258,18.653,freeway,329,no
10000370,0.0,4.743,minor arterial,5,no
15150000,14.411,15.306,collector,43,no
10075000,36.252,39.854,freeway,573,yes
10150000,3.46,4.849,principal arterial,61,no
14091000,5.437,7.493,principal arterial,138,no
10320000,8.814,16.021,freeway,725,yes
10000137,0.0,3.324,minor arterial,23,no
15190900,0.0,1.196,freeway,39,no
14140000,1.358,4.848,freeway,117,no
10000607,0.0,4.543,collector,139,no
10190000,21.163,24.713,freeway,288,no
10590000,7.468,11.528,minor arterial,161,no
10470000,5.72,7.783,freeway,393,no
10160000,4.818,6.167,principal arterial,79,no
14000118,0.468,2.475,collector,302,no
10320000,2.452,3.47,freeway,28,no
10075000,25.671,27.118,freeway,21,no
15190000,10.565,12.477,freeway,82,no
10511000,0.0,3.915,collector,67,no
15061000,2.693,4.95,principal arterial,17,no
14120000,17.823,21.393,principal arterial,1076,yes
14120000,12.438,17.823,principal arterial,1130,yes
10000645,0.0,2.693,minor arterial,64,no
10821000,4.007,6.524,minor arterial,24,no
15190000,8.365,10.565,collector,391,no
10190000,27.982,28.673,freeway,105,no
10000179,0.0,5.037,minor arterial,321,no
10470000,4.551,5.72,freeway,100,no
10470000,1.094,2.06,minor arterial,29,no
15150000,18.332,19.845,freeway,21,no
15170000,4.247,8.535,freeway,166,no
15150000,16.803,18.332,freeway,134,no
15070500,0.0,4.236,minor arterial,235,no
14010000,6.653,9.868,principal arterial,60,no
10160000,9.539,11.628,freeway,108,no
15190000,4.506,5.27,freeway,29,no
10190000,3.836,4.339,collector,86,no
10190000,3.257,3.836,freeway,14,no
10320000,0.708,1.441,freeway,11,no
10075000,0.0,6.473,freeway,615,yes
10190000,8.435,10.533,minor arterial,51,no
10190000,12.006,12.858,freeway,128,no
10524000,0.0,4.08,minor arterial,24,no
10190000,6.85,7.362,freeway,18,no
15150000,20.417,22.551,principal arterial,162,no
10075000,13.089,16.508,collector,299,no
10075000,22.862,25.671,freeway,54,no
14571000,4.427,6.515,freeway,85,no
15000305,0.0,5.537,minor arterial,166,no
15517000,0.038,2.082,principal arterial,8,no
10190000,29.866,32.836,collector,91,no
14470000,11.08,19.865,freeway,1110,yes
10320000,3.47,4.311,freeway,100,no
15000316,0.0,4.524,collector,95,no
10075000,31.196,32.305,freeway,17,no
10190000,13.947,15.88,collector,64,no
10002000,11.126,12.982,freeway,114,no
15190000,14.379,19.655,freeway,572,yes
15190000,7.322,8.365,freeway,118,no
10002000,9.13,11.126,freeway,26,no
10590000,3.809,7.468,minor arterial,44,no
15000019,0.0,3.096,collector,331,no
14550000,0.021,10.5,minor arterial,689,yes
08150000,7.054,11.468,freeway,378,no
10470000,12.82,16.052,freeway,144,no
10470000,2.06,4.127,freeway,122,no
08150000,0.0,7.054,collector,715,yes
15170001,0.0,4.143,freeway,240,no
14470000,1.28,11.08,freeway,106,no
02000016,0.0,4.366,collector,1277,yes
14000242,0.0,5.991,minor arterial,301,no
14140008,0.0,0.119,freeway,64,no
14140008,0.119,0.219,freeway,53,no
14000061,8.077,9.652,collector,1013,yes
02010000,0.0,1.14,principal arterial,15,no
02010000,1.14,4.651,principal arterial,539,yes
02010000,11.052,11.685,principal arterial,25,no
02010000,12.72,13.136,freeway,38,no
02010000,13.136,13.177,principal arterial,12,no
02010000,14.041,16.531,principal arterial,383,no
02010000,18.1,18.475,principal arterial,50,no
02010000,29.816,30.062,principal arterial,52,no
14000216,0.0,0.387,collector,2208,yes
14000128,0.0,0.134,collector,9,no
14000128,0.134,0.157,collector,5,no
15000013,0.0,0.109,principal arterial,9,no
14050200,0.0,0.374,principal arterial,28,no
14090000,11.635,11.912,principal arterial,46,no
14090000,11.912,12.313,collector,254,no
14090000,19.334,20.286,principal arterial,45,no
14570000,5.125,5.137,principal arterial,31,no
14000102,0.0,0.477,principal arterial,352,no
02470004,0.0,0.431,freeway,121,no
02000069,0.0,1.156,collector,2254,yes
14050000,4.425,4.936,principal arterial,48,no
14050000,5.74,5.834,principal arterial,31,no
14050000,6.354,6.862,principal arterial,25,no
14050000,13.476,14.152,minor arterial,174,no
14050000,14.152,14.787,minor arterial,24,no
14050000,14.787,14.976,principal arterial,10,no
14050000,21.161,22.212,principal arterial,463,no
14140022,0.0,0.235,freeway,51,no
14000060,0.0,2.265,collector,52,no
02050000,2.378,3.443,minor arterial,712,yes
02050000,6.811,7.051,freeway,253,no
02050000,7.051,7.31,minor arterial,145,no
02000028,0.0,1.077,collector,267,no
14000243,0.0,0.664,collector,305,no
14000131,0.0,0.602,freeway,377,no
14140004,0.0,0.246,freeway,98,no
14000169,0.0,0.484,minor arterial,237,no
14000196,0.0,1.435,collector,279,no
14000172,0.0,0.159,freeway,628,yes
14000172,0.159,0.965,principal arterial,535,yes
14000172,0.965,1.175,principal arterial,403,no
15000003,0.0,2.137,collector,125,no
14120000,29.098,30.31,minor arterial,235,no
14120000,30.31,32.217,minor arterial,139,no
14120000,32.217,33.127,minor arterial,127,no
14120000,33.127,33.403,minor arterial,16,no
14140030,0.0,0.539,collector,67,no
14000105,0.0,2.174,collector,464,no
02000064,0.0,0.7,collector,1401,yes
14000126,0.0,2.492,collector,464,no
15000016,0.0,0.206,principal arterial,18,no
02000074,0.0,0.382,collector,1822,yes
14075000,0.0,0.148,collector,135,no
14075000,0.148,0.265,freeway,65,no
14091000,0.0,0.761,freeway,20,no
14091000,1.487,3.729,principal arterial,74,no
14091000,3.729,5.437,principal arterial,71,no
14140020,0.403,0.431,freeway,33,no
14000096,0.0,0.246,collector,2429,yes
02470002,0.0,0.356,freeway,87,no
02000066,0.0,1.0,collector,77,no
14140014,0.0,0.571,minor arterial,155,no
14000225,0.0,2.69,collector,265,no
14572000,0.0,0.422,principal arterial,17,no
14000177,0.0,1.445,minor arterial,1008,yes
14000213,0.0,3.077,collector,127,no
14510000,12.088,14.172,collector,83,no
14000171,0.0,0.447,minor arterial,281,no
14000110,0.0,0.229,collector,23,no
14000110,0.229,1.421,collector,102,no
02000061,0.0,0.874,collector,792,yes
14470011,0.0,0.281,freeway,115,no
14000088,0.0,0.513,minor arterial,109,no
14000088,0.513,2.378,minor arterial,7,no
14000088,2.378,3.814,minor arterial,4,no
02000031,0.0,2.279,collector,109,no
14000244,0.0,0.25,collector,27,no
14140005,0.0,0.125,freeway,37,no
14000064,0.0,1.66,collector,167,no
02030000,12.251,13.524,freeway,189,no
02030000,14.648,15.09,freeway,91,no
14000204,0.0,1.486,principal arterial,1406,yes
14680000,3.124,4.592,collector,164,no
14000145,0.0,1.842,collector,583,yes
14000145,1.842,4.855,collector,137,no
14000145,4.855,4.937,minor arterial,264,no
14000145,4.937,5.477,minor arterial,56,no
14000145,5.477,5.883,minor arterial,59,no
14000145,5.883,6.141,minor arterial,28,no
14140012,0.0,0.103,freeway,4,no
14000069,0.0,0.165,collector,26,no
02000019,0.0,1.329,collector,263,no
14000197,0.0,0.762,minor arterial,236,no
14000151,0.0,1.055,freeway,741,yes
15000015,0.0,0.148,principal arterial,61,no
14000186,0.0,0.467,collector,38,no
14000120,0.0,1.936,principal arterial,1449,yes
02610000,0.0,3.161,collector,441,no
02000057,0.0,2.685,collector,60,no
14470052,0.0,0.46,freeway,120,no
14000095,0.0,0.763,collector,44,no
14000095,0.763,1.501,collector,60,no
02530000,0.0,6.051,collector,217,no
02000018,0.0,3.653,collector,206,no
14140019,0.0,0.339,freeway,70,no
14140019,0.339,0.445,freeway,11,no
02000002,0.0,6.151,collector,32,no
14000203,0.0,0.369,collector,1105,yes
14660000,0.0,2.339,collector,124,no
14050300,0.0,0.029,principal arterial,45,no
14050300,0.029,0.447,principal arterial,27,no
02000070,0.0,0.493,collector,109,no
14070015,0.0,0.028,principal arterial,4,no
14070015,0.028,0.219,principal arterial,38,no
14000124,0.0,1.013,collector,17,no
02000043,0.0,2.298,freeway,1556,yes
14140024,0.0,1.673,freeway,126,no
14000089,0.0,0.656,minor arterial,61,no
02506000,0.0,4.039,collector,632,yes
14000240,0.0,0.077,collector,17,no
14000240,0.077,0.337,collector,259,no
14000240,0.337,0.58,collector,105,no
14140000,0.0,0.242,freeway,42,no
14000058,0.0,0.751,collector,101,no
14000207,0.0,0.738,collector,176,no
14000127,0.0,1.216,collector,328,no
14080000,0.0,1.826,principal arterial,34,no
14520000,0.0,2.366,collector,61,no
14520000,10.426,11.192,collector,297,no
02470000,0.0,4.329,freeway,450,no
02470000,4.329,12.171,freeway,1065,yes
02000068,0.0,0.267,collector,15,no
14502000,0.0,0.23,collector,56,no
14000047,0.0,0.255,collector,13,no
14000138,0.0,0.133,collector,47,no
14000138,0.133,0.247,collector,9,no
14470014,0.0,0.273,freeway,21,no
14000072,0.0,2.503,collector,498,no
02000007,0.0,4.21,collector,214,no
02000007,4.292,5.408,collector,271,no
14000141,0.0,0.521,collector,459,no
14000183,0.0,3.148,collector,141,no
14000222,0.0,0.45,principal arterial,314,no
14000176,0.0,1.141,collector,168,no
14000118,0.0,0.468,collector,33,no
14470004,0.0,0.345,freeway,114,no
14000077,0.587,1.007,principal arterial,232,no
02000041,0.0,0.455,collector,23,no
14140010,0.0,0.122,freeway,39,no
02040002,0.0,0.024,principal arterial,7,no
02000029,0.0,2.113,collector,436,no
14000234,0.0,0.509,collector,891,yes
14000144,0.0,0.419,collector,26,no
14000155,1.816,3.17,collector,1433,yes
14000116,0.0,0.162,minor arterial,65,no
14000116,0.162,0.989,collector,123,no
14000116,4.286,6.288,principal arterial,1605,yes
14000116,6.288,8.829,collector,38,no
14000043,2.005,3.718,minor arterial,732,yes
02000055,0.0,0.33,minor arterial,45,no
14140025,0.0,0.597,principal arterial,39,no
14000154,0.0,1.047,collector,490,no
14000154,1.047,2.004,collector,580,yes
14000219,0.0,0.745,principal arterial,604,yes
14000119,0.0,0.736,collector,111,no
14000119,0.736,1.406,minor arterial,486,no
14470016,0.0,0.308,freeway,39,no
14000103,0.0,0.431,collector,116,no
02050001,0.0,0.087,freeway,189,no
02000048,0.0,1.424,freeway,791,yes
14000056,0.0,0.5,collector,120,no
02000032,0.0,2.989,collector,23,no
14000191,0.0,0.632,minor arterial,507,yes
14580000,5.386,6.122,collector,93,no
14580000,6.122,7.308,collector,201,no
14000149,0.0,1.002,collector,32,no
14470015,0.0,0.289,freeway,13,no
14000093,0.0,1.224,collector,124,no
02520000,0.0,2.294,minor arterial,1154,yes
14000231,0.0,2.116,collector,276,no
14140009,0.0,0.14,freeway,22,no
02510000,0.0,0.052,collector,51,no
02000005,0.0,1.342,collector,155,no
14000223,0.0,1.257,principal arterial,618,yes
14130000,0.0,0.569,principal arterial,37,no
14130000,0.569,0.851,principal arterial,32,no
02000001,0.0,1.555,collector,358,no
14000066,0.0,0.508,minor arterial,14,no
14000201,0.0,1.366,principal arterial,405,no
14630000,0.0,3.903,collector,721,yes
14630000,3.903,6.273,principal arterial,934,yes
14630000,6.273,8.781,minor arterial,971,yes
14070001,11.821,12.299,minor arterial,268,no
14070001,12.299,12.499,minor arterial,286,no
14070001,12.499,14.989,minor arterial,88,no
02470005,0.0,0.513,freeway,44,no
02000040,0.0,2.17,collector,1311,yes
02000040,2.17,2.178,collector,489,no
14470000,0.0,1.28,freeway,126,no
02000035,0.0,1.387,collector,154,no
14000189,0.0,2.3,principal arterial,456,no
02000073,0.0,0.566,collector,13,no
14470050,0.0,0.253,freeway,34,no
14000217,0.0,0.216,minor arterial,202,no
14000217,0.216,0.227,minor arterial,11,no
14000111,0.0,0.624,minor arterial,577,yes
15000014,0.0,0.208,principal arterial,41,no
14570003,0.0,0.122,collector,11,no
14000099,0.0,0.766,collector,14,no
02512000,0.0,0.113,collector,15,no
02000042,0.0,2.078,freeway,899,yes
14030030,0.0,0.729,collector,200,no
14140029,0.0,0.357,freeway,54,no
02000030,0.0,2.041,collector,106,no
14000229,0.0,1.027,principal arterial,243,no
14140011,0.0,0.378,minor arterial,123,no
14000174,0.0,0.503,collector,126,no
14000220,0.0,0.294,collector,316,no
14000175,0.0,1.317,freeway,775,yes
14000122,0.0,0.32,collector,17,no
15000006,0.0,2.026,collector,121,no
14140021,0.297,0.332,freeway,1,no
14000233,0.0,1.637,collector,114,no
14000206,0.0,0.04,principal arterial,14,no
14000206,0.04,0.905,principal arterial,345,no
14000206,0.905,0.913,principal arterial,44,no
14000097,0.0,0.216,collector,159,no
02000065,0.0,1.261,collector,2009,yes
02000038,0.0,0.886,collector,127,no
14000226,0.0,0.194,minor arterial,285,no
14000140,0.0,0.563,collector,116,no
15000004,0.0,1.444,collector,182,no
14000182,0.0,1.349,collector,426,no
14000168,0.0,0.049,minor arterial,46,no
14000168,0.049,0.062,minor arterial,97,no
02000075,0.0,0.127,collector,1556,yes
14470012,0.0,0.287,freeway,131,no
14000200,0.0,1.18,principal arterial,730,yes
14000157,0.0,1.807,principal arterial,1544,yes
14000052,0.81,1.955,minor arterial,333,no
02000022,0.0,4.448,collector,563,yes
14000208,0.0,0.397,minor arterial,360,no
15000293,0.0,0.917,collector,131,no
15020000,0.0,1.011,collector,39,no
15020000,1.011,1.103,collector,29,no
15020000,1.103,1.126,collector,16,no
15020000,5.082,5.465,minor arterial,9,no
15020000,5.909,7.39,minor arterial,48,no
15020000,11.556,13.207,minor arterial,63,no
15000081,0.0,1.209,collector,397,no
15000444,0.0,0.751,collector,57,no
15000513,0.0,0.504,collector,317,no
15000254,1.473,1.696,minor arterial,25,no
15000254,1.696,1.717,minor arterial,28,no
15000254,1.717,2.502,minor arterial,111,no
15000336,0.0,2.049,collector,38,no
15150702,0.0,0.053,freeway,55,no
15040000,0.0,0.247,collector,43,no
15040000,0.247,1.214,collector,29,no
15190078,0.0,0.523,freeway,141,no
15140502,0.0,2.364,principal arterial,127,no
15510000,0.0,2.779,minor arterial,163,no
15190015,0.0,0.184,freeway,75,no
15090000,1.891,2.903,principal arterial,33,no
02000009,0.0,5.675,collector,753,yes
14140006,0.0,0.113,freeway,72,no
14140006,0.113,0.376,freeway,52,no
14000125,0.0,0.616,collector,123,no
14000148,0.0,0.993,collector,307,no
14000187,0.0,0.648,collector,319,no
02000047,0.0,2.867,minor arterial,2099,yes
14470053,0.0,0.459,freeway,62,no
02540000,0.0,1.782,collector,433,no
02000024,0.0,3.374,collector,181,no
14000065,0.0,1.076,collector,216,no
14000198,0.0,0.557,collector,194,no
14000078,0.0,0.44,collector,93,no
02050003,0.0,0.081,freeway,63,no
02000054,0.0,1.569,collector,289,no
14040100,0.0,0.181,freeway,68,no
14140027,0.0,0.135,freeway,71,no
14000076,6.613,7.656,collector,86,no
02000034,0.0,2.668,minor arterial,489,no
14000235,0.0,0.287,principal arterial,238,no
14140023,0.0,0.227,freeway,51,no
14000081,0.0,1.875,principal arterial,74,no
02000017,0.0,1.78,collector,335,no
14140007,0.0,0.161,freeway,28,no
14140007,0.161,0.258,freeway,52,no
14000055,0.0,2.297,collector,271,no
02010001,0.0,0.066,principal arterial,22,no
14000215,0.0,1.413,collector,75,no
15000009,0.0,0.1,principal arterial,12,no
14050100,0.0,0.069,principal arterial,45,no
14000101,0.0,1.314,collector,113,no
02470001,0.0,0.412,freeway,7,no
02000049,0.0,0.866,collector,215,no
02000008,0.0,3.703,collector,477,no
14000230,0.0,0.928,collector,99,no
14000130,0.0,4.056,collector,465,no
02000072,0.0,0.489,freeway,111,no
14121000,0.0,4.36,principal arterial,208,no
14121000,0.0,4.36,principal arterial,208,no
14000184,0.0,0.576,minor arterial,415,no
14000194,0.0,0.337,collector,58,no
14000167,0.0,1.797,collector,195,no
15000012,0.0,0.149,freeway,25,no
14050001,0.0,0.022,collector,280,no
14050001,0.022,0.399,principal arterial,69,no
14501000,0.0,1.381,collector,786,yes
02000044,0.0,2.261,collector,437,no
14000062,0.0,1.006,collector,764,yes
02000036,0.0,1.253,collector,23,no
14000228,0.0,0.435,minor arterial,132,no
14600000,0.0,4.543,collector,455,no
14000135,0.0,0.061,principal arterial,49,no
15000005,0.0,2.369,collector,304,no
14000209,0.0,1.552,minor arterial,902,yes
14000107,1.987,3.53,collector,98,no
02900002,0.0,0.388,collector,11,no
02000060,0.0,0.26,collector,2067,yes
14470003,0.0,0.367,freeway,118,no
14000098,0.0,2.728,principal arterial,890,yes
02500000,0.0,7.633,collector,1267,yes
02000063,0.0,0.981,freeway,697,yes
02000023,0.0,1.484,collector,228,no
14000195,0.0,1.039,principal arterial,784,yes
14000150,0.0,1.106,collector,647,yes
14570100,0.0,0.119,principal arterial,87,no
14000185,0.0,0.373,principal arterial,289,no
02000058,0.0,5.229,collector,334,no
14470051,0.0,0.353,freeway,89,no
14000094,0.0,0.839,principal arterial,728,yes
02470003,0.0,0.346,freeway,121,no
02000015,0.0,2.878,collector,136,no
14140013,0.0,0.091,freeway,33,no
14000199,0.0,2.26,collector,177,no
14000199,2.26,5.3,principal arterial,1922,yes
14000067,0.0,1.996,principal arterial,665,yes
14092000,0.0,0.394,minor arterial,17,no
14506000,3.915,4.565,collector,1,no
14000123,0.0,1.045,collector,200,no
02000039,0.0,1.298,freeway,240,no
14030018,0.0,1.976,collector,503,yes
14470001,0.0,0.372,freeway,8,no
14000084,0.0,2.27,collector,52,no
14000193,0.0,0.959,collector,77,no
14000170,0.0,0.721,principal arterial,711,yes
14000079,0.0,1.013,minor arterial,1052,yes
02000067,0.0,0.392,principal arterial,454,no
14140026,0.0,0.32,freeway,109,no
14000051,0.0,0.502,collector,140,no
02000033,0.0,1.332,collector,29,no
14000227,0.0,0.235,collector,208,no
14000178,0.0,0.72,collector,428,no
14000221,0.0,1.483,principal arterial,1183,yes
14000173,0.0,0.716,collector,98,no
02000071,0.0,0.24,collector,8,no
14110000,2.742,3.448,principal arterial,64,no
14470002,0.0,0.384,freeway,1,no
02000050,0.0,1.756,collector,157,no
14040101,0.0,0.248,freeway,59,no
15000011,0.0,0.177,principal arterial,12,no
14000179,0.0,0.039,collector,938,yes
14000237,0.0,0.077,collector,43,no
14000134,0.0,1.903,freeway,491,no
14000163,0.0,1.686,collector,206,no
14000202,0.0,0.344,collector,409,no
