metric,value
florida_ped_bike_killed_2019_2025,6653
florida_ped_bike_serious_2019_2025,15830
d7_ped_bike_killed_2019_2025,1192
d7_ped_bike_serious_2019_2025,2875
d7_share_of_florida_deaths,0.1792
d7_share_of_florida_population,0.1559
concentration_ratio,1.149
snapshot_date,2026-09-15
