roadway,county,begin_post,end_post,length_mi,aadt,description,crashes,deaths,serious,ped_deaths,occ_deaths,occ_serious,vmt_period,deaths_per_100M_vmt,crashes_per_100M_vmt
14000104,Pasco,0.0,4.174,4.174,3600,US-19,114,6,10,0,6,8,37843988,15.855,301.2
14000132,Pasco,0.0,1.002,1.002,5000,DAUGHTERY RD,53,2,1,2,0,0,12617685,15.851,420.0
14000007,Pasco,0.0,3.612,3.612,1400,PAUL S BUCHMAN HWY,28,2,1,0,2,0,12735551,15.704,219.9
14000075,Pasco,0.0,1.405,1.405,3600,US-19/SR-55,51,2,3,0,1,1,12738573,15.7,400.4
15000001,Pinellas,0.0,2.038,2.038,2500,SEMINOLE ST,47,2,4,1,0,2,12831757,15.586,366.3
15000137,Pinellas,0.0,1.039,1.039,2500,PASS-A-GRILLE WAY,15,1,1,1,0,0,6541804,15.286,229.3
15000042,Pinellas,0.0,1.3,1.3,2000,N KEENE RD,23,1,1,0,0,0,6548100,15.272,351.2
10020000,Hillsborough,0.743,1.009,0.266,9800,E ESTELLE ST,137,1,1,0,1,1,6565226,15.232,2086.8
10000070,Hillsborough,0.0,2.034,2.034,1300,S DAVIS ROUNDABOUT,109,1,2,0,1,1,6659418,15.016,1636.8
15000256,Pinellas,0.0,1.546,1.546,1750,SR-688 / ULMERTON RD,61,1,5,1,0,2,6813802,14.676,895.2
10030000,Hillsborough,6.498,6.977,0.479,17900,GARDEN LN,46,3,2,0,3,1,21593871,13.893,213.0
08050000,Hernando,11.725,12.476,0.751,7700,US41/SR45/N BROAD ST,106,2,14,0,1,13,14563730,13.733,727.8
10075356,Hillsborough,0.0,0.303,0.303,9600,SR 582 FOWLER AVE WB,10,1,4,0,1,3,7325813,13.65,136.5
14050000,Pasco,11.342,11.637,0.295,30000,US-98/SR-35/SR-700,98,3,12,1,2,12,22288725,13.46,439.7
15190014,Pinellas,0.0,0.441,0.441,6700,31 ST S,8,1,1,0,1,1,7441412,13.438,107.5
15504000,Pinellas,0.0,3.216,3.216,6500,66 TH ST N / SR-693,437,7,20,3,0,12,52646724,13.296,830.1
08070000,Hernando,8.543,9.519,0.976,9300,US-301 / SR-35,61,3,9,0,3,9,22859921,13.123,266.8
08000024,Hernando,0.0,1.168,1.168,2600,US-41/SR-45/BROAD ST,41,1,4,0,0,2,7648181,13.075,536.1
10270114,Hillsborough,0.0,0.529,0.529,17500,BR# 100675 FROM TIA,22,3,0,0,0,0,23315014,12.867,94.4
10190450,Hillsborough,0.0,0.294,0.294,10500,21 ST,24,1,0,0,1,0,7774610,12.862,308.7
14000106,Pasco,0.0,3.269,3.269,950,CR-578/ST JOE RD,13,1,1,0,0,0,7821328,12.786,166.2
10000016,Hillsborough,0.0,2.645,2.645,2400,E KEYSVILLE RD,17,2,2,2,0,1,15987438,12.51,106.3
10060000,Hillsborough,26.226,26.565,0.339,37500,CR-574/BROADWAY AVE,397,4,6,3,0,4,32016431,12.494,1240.0
14000166,Pasco,0.0,1.353,1.353,2400,BOYETE RD,37,1,1,1,0,1,8178073,12.228,452.4
10330000,Hillsborough,0.155,0.911,0.756,26000,E 21 AVE,168,6,9,4,1,8,49503636,12.12,339.4
10140104,Hillsborough,0.097,0.444,0.347,9500,N/A,14,1,1,0,1,0,8302235,12.045,168.6
02000037,Citrus,0.0,1.503,1.503,2200,N FLORIDA AVE,14,1,0,0,1,0,8327672,12.008,168.1
10020101,Hillsborough,1.546,1.822,0.276,12000,E FLORIBRASKA AVE,37,1,0,1,0,0,8341272,11.989,443.6
15000203,Pinellas,0.25,1.036,0.786,4400,N/A,25,1,1,0,1,1,8709980,11.481,287.0
02040000,Citrus,5.44,6.681,1.241,14000,CR-491/N LECANTO HWY,86,5,6,0,4,5,43756419,11.427,196.5
10620500,Hillsborough,0.0,1.585,1.585,6600,US-301/FT KING HWY,36,3,0,0,2,0,26346028,11.387,136.6
15150000,Pinellas,4.874,5.876,1.002,38500,US19A/SR595/5 AVE N,1048,11,22,2,6,13,97156175,11.322,1078.7
08010000,Hernando,9.687,10.077,0.39,9000,CR-445/S MAIN ST,67,1,4,0,1,1,8839935,11.312,757.9
14000020,Pasco,0.0,3.359,3.359,2100,CR-595/GRAND BLVD,276,2,6,1,1,4,17765247,11.258,1553.6
08010000,Hernando,10.362,11.328,0.966,11052,CR484/MONDON HILL RD,60,3,3,0,3,3,26888090,11.157,223.1
10570000,Hillsborough,0.0,4.973,4.973,1450,MANATEE CO LINE,29,2,2,0,2,2,18160526,11.013,159.7
10000205,Hillsborough,0.0,0.535,0.535,6900,COLLINS ELM SCHOOL,13,1,0,0,0,0,9297043,10.756,139.8
15061000,Pinellas,6.946,7.16,0.214,17500,CR-376/142 AVE N,90,1,7,1,0,5,9431783,10.602,954.2
15120000,Pinellas,0.0,1.192,1.192,16200,SR-699 / GULF BLVD,117,5,3,0,4,0,48633242,10.281,240.6
14570002,Pasco,0.0,0.176,0.176,44000,OLD MILL POND DR,75,2,10,0,2,9,19503264,10.255,384.6
10060001,Hillsborough,0.0,0.367,0.367,32000,OLD COLUMBUS DR(UNS),235,3,4,0,2,2,29577264,10.143,794.5
15190304,Pinellas,0.0,0.28,0.28,14000,SR-682/PINELLAS BAYW,11,1,0,0,0,0,9872520,10.129,111.4
14030000,Pasco,11.474,13.838,2.364,51500,N/A,924,31,78,8,11,49,306617301,10.11,301.4
10190200,Hillsborough,0.0,3.048,3.048,3900,PARK RD,39,3,3,0,3,3,29937913,10.021,130.3
14050000,Pasco,3.764,4.425,0.661,24000,SR-39,170,4,19,0,1,10,39953484,10.012,425.5
10270000,Hillsborough,2.748,2.874,0.126,31500,US-92/SR-600,74,1,1,0,0,1,9995926,10.004,740.3
15000142,Pinellas,0.0,3.748,3.748,6400,49 ST S,837,6,32,2,1,24,60411763,9.932,1385.5
15070001,Pinellas,0.0,0.479,0.479,8400,BROADWAY,58,1,3,1,0,1,10133437,9.868,572.4
10020000,Hillsborough,1.328,1.608,0.28,14500,E COLUMBUS DR,77,1,2,0,0,1,10225110,9.78,753.0
14140001,Pasco,0.0,0.239,0.239,17000,CR-54 EB,31,1,0,0,0,0,10232666,9.773,303.0
10250000,Hillsborough,8.177,8.616,0.439,9300,N/A,63,1,0,0,0,0,10282280,9.725,612.7
10250000,Hillsborough,7.154,7.447,0.293,14000,CR-574/7 AVE,166,1,2,0,1,0,10330887,9.68,1606.8
10000063,Hillsborough,0.0,1.18,1.18,3500,N HOWARD AVE,78,1,3,0,0,1,10401405,9.614,749.9
08550000,Hernando,3.889,8.693,4.804,2600,CR-581/EMERSON RD,66,3,3,0,1,0,31457072,9.537,209.8
10000619,Hillsborough,0.0,0.339,0.339,12300,19 AVE,105,1,2,0,1,2,10501389,9.523,999.9
10040000,Hillsborough,4.996,5.17,0.174,24000,E BIRD ST,107,1,4,0,1,0,10517256,9.508,1017.4
10000090,Hillsborough,3.753,5.829,2.076,4100,REPUBLICA DE CUBA,226,2,2,0,1,1,21436465,9.33,1054.3
15010000,Pinellas,5.948,6.068,0.12,35500,22 AV N,121,1,5,1,0,4,10728810,9.321,1127.8
15180503,Pinellas,0.0,1.957,1.957,13100,SR-693/PASADENA AVE,306,6,10,2,4,10,64566029,9.293,473.9
10040000,Hillsborough,7.199,8.207,1.008,25500,W FOWLER AVE,488,6,13,3,1,5,64735524,9.268,753.8
15010303,Pinellas,0.0,0.323,0.323,13500,US-19A/SR-595,3,1,1,0,1,1,10981919,9.106,27.3
15035002,Pinellas,0.0,0.382,0.382,11500,RP 15190029,14,1,1,0,0,1,11063770,9.039,126.5
10260000,Hillsborough,3.681,4.597,0.916,14500,JEFFERSON RD,100,3,5,1,1,3,33450717,8.968,298.9
15010102,Pinellas,0.0,0.423,0.423,10500,CR-666 / TOM STUART,15,1,0,0,0,0,11185918,8.94,134.1
08050000,Hernando,10.982,11.725,0.743,12000,E DR MLK JR BLVD,99,2,1,1,0,0,22454946,8.907,440.9
15120000,Pinellas,10.613,11.472,0.859,37500,UNSIGNED,642,7,20,6,1,16,81127181,8.628,791.4
14000074,Pasco,0.0,1.247,1.247,3700,CR77/REGENCY PARK BL,70,1,4,0,0,3,11620107,8.606,602.4
14000160,Pasco,0.0,2.256,2.256,2050,GREEN SLOPE DR,132,1,7,0,0,2,11647559,8.585,1133.3
10075365,Hillsborough,0.0,0.311,0.311,15000,I-75 SB/SR-93A,21,1,1,0,1,1,11748802,8.512,178.7
10340000,Hillsborough,3.134,3.317,0.183,25500,TO 10320159 SB ON,298,1,5,1,0,3,11752580,8.509,2535.6
15000312,Pinellas,0.0,2.831,2.831,3300,BEACH DR NE,797,2,12,1,0,5,23528583,8.5,3387.4
10190091,Hillsborough,0.0,0.774,0.774,6100,US-301/SR-41 SB,15,1,2,0,0,1,11890846,8.41,126.1
10020000,Hillsborough,5.362,5.887,0.525,27000,WATERS AVE,336,3,6,3,0,4,35699737,8.403,941.2
14030000,Pasco,0.0,0.626,0.626,60500,PINELLAS CO LINE,390,8,36,3,3,27,95383150,8.387,408.9
15000151,Pinellas,0.0,0.897,0.897,15900,22 AVE S,249,3,10,2,0,4,35919603,8.352,693.2
15010000,Pinellas,0.577,1.1,0.523,9100,N/A,145,1,4,0,0,2,11986297,8.343,1209.7
10589000,Hillsborough,0.0,0.896,0.896,16000,SR-60 WB,395,3,6,0,1,3,36105216,8.309,1094.0
15230000,Pinellas,0.606,1.129,0.523,27500,CR-150/CENTRAL AVE,274,3,11,1,2,5,36222326,8.282,756.4
15007000,Pinellas,0.0,1.535,1.535,34500,SR-686/E BAY DR,648,11,19,5,3,10,133373464,8.248,485.9
14000082,Pasco,0.0,3.897,3.897,2500,NEW YORK AVE,36,2,4,0,0,3,24536486,8.151,146.7
14540000,Pasco,0.0,8.004,8.004,4900,SR-52,279,8,34,0,3,28,98774563,8.099,282.5
08002000,Hernando,1.534,2.532,0.998,29500,US-41/SR-45/BROAD ST,232,6,12,0,6,9,74147158,8.092,312.9
10270118,Hillsborough,0.265,0.396,0.131,37500,N/A,7,1,0,0,0,0,12372131,8.083,56.6
14510001,Pasco,0.0,1.891,1.891,5200,CR-577/CURLEY RD,35,2,7,0,2,5,24764914,8.076,141.3
14030000,Pasco,13.838,16.996,3.158,39000,N/A,498,25,98,6,6,74,310183497,8.06,160.6
08010000,Hernando,8.975,9.291,0.316,15600,SR-700/PONCE DE LEON,27,1,4,0,1,3,12415198,8.055,217.5
15000414,Pinellas,0.0,0.504,0.504,9800,46 AVE N,34,1,3,0,0,2,12439375,8.039,273.3
15180503,Pinellas,1.957,5.045,3.088,9600,49 ST,699,6,13,5,0,8,74660429,8.036,936.2
15190307,Pinellas,0.0,0.43,0.43,11500,54 AVE S,9,1,0,0,1,0,12453982,8.03,72.3
08010000,Hernando,12.089,14.304,2.215,11200,CR-445/HOWELL AVE,110,5,18,1,2,17,62478948,8.003,176.1
14570000,Pasco,0.875,2.72,1.845,35000,CR-595/GRAND BLVD,481,13,61,4,2,45,162632138,7.994,295.8
15100000,Pinellas,4.023,4.97,0.947,15900,N/A,104,3,5,2,1,3,37921810,7.911,274.2
10650000,Hillsborough,1.633,3.645,2.012,2500,W FLETCHER AVE,99,1,1,0,0,1,12668055,7.894,781.5
14140020,Pasco,0.0,0.403,0.403,12500,I-75 / SR-93,31,1,0,0,1,0,12686944,7.882,244.3
14050000,Pasco,19.479,20.483,1.004,15324,OWENSBORO RD,31,3,4,0,2,3,38747868,7.742,80.0
08000013,Hernando,1.423,3.193,1.77,2900,CITRUS WAY/CR-491,42,1,3,0,1,3,12927460,7.735,324.9
14000107,Pasco,0.0,1.987,1.987,5200,HICKS RD,33,2,3,0,1,3,26022149,7.686,126.8
10040000,Hillsborough,3.165,4.173,1.008,20500,E HILLSBOROUGH AVE,543,4,13,2,0,8,52042284,7.686,1043.4
10030000,Hillsborough,20.376,21.014,0.638,8100,N/A,151,1,0,0,0,0,13015104,7.683,1160.2
10030000,Hillsborough,0.0,1.002,1.002,41500,SR-45,837,8,17,3,3,10,104726786,7.639,799.2
14000139,Pasco,0.0,0.663,0.663,7900,21 ST,14,1,3,0,0,2,13191147,7.581,106.1
