roadway,county,begin_post,end_post,length_mi,aadt,description,crashes,deaths,serious,ped_deaths,occ_deaths,occ_serious,vmt_period,deaths_per_100M_vmt,crashes_per_100M_vmt
08020000,Hernando,1.087,4.76,3.673,43500,HUNTERS LAKE RD,1032,7,79,1,4,63,402394597,1.74,256.5
10080001,Hillsborough,5.488,9.803,4.315,5300,N 22 ST,793,1,18,1,0,13,57596836,1.736,1376.8
15080500,Pinellas,0.0,4.712,4.712,19500,CR-1/OMAHA ST,1075,4,39,2,1,36,231409854,1.729,464.5
15000114,Pinellas,0.0,4.719,4.719,14900,CENTRAL AVE,460,3,13,0,2,10,177083542,1.694,259.8
15010000,Pinellas,6.068,7.657,1.589,29500,SR-693/66 ST N,423,2,18,0,2,14,118055947,1.694,358.3
14000054,Pasco,0.0,2.113,2.113,11100,US-19,319,1,28,0,1,22,59069655,1.693,540.0
10528000,Hillsborough,0.0,4.102,4.102,17200,EHRLICH RD,145,3,3,0,2,3,177691256,1.688,81.6
15010000,Pinellas,11.247,13.518,2.271,41500,66 AVE N,592,4,15,1,2,5,237359810,1.685,249.4
08470000,Hernando,0.0,3.46,3.46,27300,PASCO COUNTY LINE,79,4,14,0,4,12,237892473,1.681,33.2
10290000,Hillsborough,4.019,6.184,2.165,65500,SR-583/N 56 ST,771,6,31,2,1,27,357142189,1.68,215.9
14070001,Pasco,19.849,21.824,1.975,12100,FROM RAMP 14140013,64,1,6,0,0,4,60185854,1.662,106.3
14040000,Pasco,0.0,0.84,0.84,28500,COUNTY LINE RD,120,1,4,0,0,4,60292890,1.659,199.0
15509000,Pinellas,0.0,2.519,2.519,19000,34 ST S,597,2,17,1,1,14,120537928,1.659,495.3
10010000,Hillsborough,22.51,24.058,1.548,46500,SR-60/ADAMO DR E,308,3,6,0,2,4,181286667,1.655,169.9
14000076,Pasco,0.0,6.613,6.613,18200,SR-52,380,5,33,1,2,28,303118097,1.65,125.4
02050000,Citrus,17.626,21.762,4.136,35000,US41/SR45/44/S US 41,220,6,20,1,4,15,364578060,1.646,60.3
15010000,Pinellas,17.066,21.212,4.146,17500,SR-686/EAST BAY DR,782,3,21,1,2,12,182729768,1.642,428.0
15150000,Pinellas,25.839,27.662,1.823,93000,N/A,1510,7,64,1,2,52,426983972,1.639,353.6
08508000,Hernando,0.0,5.292,5.292,4600,COMMERCIAL WAY,63,1,4,0,1,2,61308349,1.631,102.8
10000090,Hillsborough,0.0,3.753,3.753,26000,US-92 / SR-600 / DAL,1443,4,23,1,1,14,245750193,1.628,587.2
10000645,Hillsborough,2.693,6.042,3.349,36500,TRANQUILITY OAKS DR,706,5,14,2,1,11,307857662,1.624,229.3
14000114,Pasco,0.0,7.845,7.845,25000,BROAD ST,514,8,49,1,4,38,493940812,1.62,104.1
15150000,Pinellas,9.23,11.096,1.866,79000,N/A,1544,6,47,1,2,26,371262159,1.616,415.9
10780000,Hillsborough,0.0,5.522,5.522,8900,S CR-39,108,2,14,0,1,13,123773697,1.616,87.3
14090000,Pasco,1.786,3.631,1.845,80000,COLLIER PKWY,601,6,36,1,2,30,371730600,1.614,161.7
14010000,Pasco,4.976,6.653,1.677,44000,CR-583/EHREN CUTOFF,247,3,14,0,2,11,185835078,1.614,132.9
15150098,Pinellas,0.0,6.746,6.746,11000,US-19/SR-55,982,3,10,0,2,8,186887811,1.605,525.4
08000043,Hernando,0.0,6.356,6.356,7800,COUNTY LINE RD,326,2,15,1,1,12,124859171,1.602,261.1
14120000,Pasco,9.257,11.515,2.258,33000,14470012 SB ON,426,3,36,0,3,31,187663509,1.599,227.0
10340000,Hillsborough,3.317,4.31,0.993,25000,SR-45/N NEBRASKA AVE,374,1,8,1,0,5,62521762,1.599,598.2
15100000,Pinellas,2.202,4.023,1.821,13700,69 AVE,248,1,13,1,0,5,62830782,1.592,394.7
14570000,Pasco,4.344,4.913,0.569,44000,N/A,56,1,2,1,0,2,63053166,1.586,88.8
10030102,Hillsborough,0.0,0.964,0.964,26000,ORIENT RD,92,1,2,0,0,0,63123684,1.584,145.7
10002000,Hillsborough,5.111,5.5,0.389,65000,Bridge No-100332,41,1,2,0,1,2,63680273,1.57,64.4
15000044,Pinellas,0.0,2.544,2.544,10000,GULF TO BAY BLVD,154,1,5,0,0,3,64070640,1.561,240.4
10130000,Hillsborough,9.137,10.033,0.896,57000,N/A,1008,2,7,0,1,4,128624832,1.555,783.7
14610000,Pasco,0.0,1.004,1.004,51000,COUNTY LINE RD,361,2,27,2,0,25,128957274,1.551,279.9
02050000,Citrus,11.514,13.564,2.05,37500,S TRAIL 13,411,3,12,0,2,11,193609688,1.55,212.3
14572000,Pasco,0.422,1.774,1.352,57000,TRINITY BLVD,350,3,20,0,1,18,194085684,1.546,180.3
10180500,Hillsborough,0.0,4.506,4.506,5700,S HOADLEY ST,288,1,5,0,0,3,64685658,1.546,445.2
15140501,Pinellas,0.0,3.12,3.12,16500,BELLEAIR BEACH CSWY,165,2,9,1,1,3,129652380,1.543,127.3
14090000,Pasco,9.312,11.635,2.323,55500,SR-581,752,5,53,0,1,46,324701390,1.54,231.6
10700000,Hillsborough,5.117,12.971,7.854,9900,CR-587/GUNN HWY,332,3,4,1,1,3,195824960,1.532,169.5
15150000,Pinellas,8.843,9.23,0.387,67000,CR-691/HAINES RD,664,1,15,0,0,5,65302187,1.531,1016.8
02505000,Citrus,0.0,10.803,10.803,19400,W GULF TO LAKE HWY,793,8,49,1,3,40,527822697,1.516,150.2
15120000,Pinellas,4.545,6.053,1.508,69500,US-19A / SR-595,781,4,23,1,1,14,263953911,1.515,295.9
10075000,Hillsborough,21.665,22.862,1.197,109500,N/A,428,5,9,0,4,8,330103573,1.515,129.7
15002000,Pinellas,0.049,0.705,0.656,40000,N/A,25,1,1,0,1,0,66085440,1.513,37.8
10190007,Hillsborough,0.0,0.317,0.317,83000,I-275/SR-93 NB,64,1,0,0,0,0,66264254,1.509,96.6
08020000,Hernando,13.975,19.514,5.539,14300,CR-476/CENTRALIA RD,161,3,36,0,2,32,199484592,1.504,80.7
10310000,Hillsborough,4.847,5.461,0.614,43000,CR-581 / N 30 ST,373,1,7,1,0,5,66493437,1.504,561.0
10000150,Hillsborough,0.0,2.4,2.4,11000,RIVERVIEW DR,56,1,0,0,1,0,66488400,1.504,84.2
14070000,Pasco,5.35,8.183,2.833,9400,14070015 SB OFF,35,1,9,0,0,9,67068159,1.491,52.2
15150000,Pinellas,22.551,24.58,2.029,105000,Bridge No-150209,1252,8,82,2,5,67,536553832,1.491,233.3
10075000,Hillsborough,20.081,21.665,1.584,118500,Bridge No-100486,697,7,11,1,6,11,472732524,1.481,147.4
10530000,Hillsborough,0.0,20.553,20.553,13100,MANATEE COUNTY LINE,363,10,32,1,8,26,678091770,1.475,53.5
15120000,Pinellas,11.472,12.913,1.441,37500,15030056 SB ON,301,2,20,1,1,17,136093444,1.47,221.2
14560000,Pasco,1.02,6.651,5.631,4800,PARKWAY BLVD,109,1,14,0,0,8,68072033,1.469,160.1
10010000,Hillsborough,24.816,25.614,0.798,34000,E DR MLK JR BLVD,201,1,6,0,0,5,68331942,1.463,294.2
10010000,Hillsborough,25.614,26.253,0.639,42500,10190099 EB ON,185,1,7,1,0,7,68396164,1.462,270.5
15150200,Pinellas,0.027,4.987,4.96,11000,DONOVAN'S PARK,537,2,10,1,0,7,137409360,1.456,390.8
10000363,Hillsborough,0.0,3.56,3.56,23000,W TAMPA BAY BLVD,1594,3,22,0,2,15,206214780,1.455,773.0
02050000,Citrus,13.564,15.906,2.342,35000,S CROFT AVE,664,3,28,0,1,23,206441445,1.453,321.6
14590000,Pasco,0.0,1.461,1.461,18700,LUMINARIA LN,154,1,8,0,1,6,68807183,1.453,223.8
10110000,Hillsborough,9.706,11.456,1.75,62500,CR-640/LITHIA PC RD,1113,4,23,1,1,14,275460938,1.452,404.1
14510000,Pasco,0.0,2.248,2.248,12300,HILLSBOROUGH CO LINE,193,1,26,0,1,23,69637532,1.436,277.1
10190000,Hillsborough,12.858,13.947,1.089,127000,Bridge No-100588,394,5,8,2,1,5,348316105,1.435,113.1
15000445,Pinellas,0.0,4.141,4.141,6700,SR-584/TAMPA RD,22,1,2,0,1,2,69875027,1.431,31.5
10330000,Hillsborough,4.654,6.169,1.515,37000,N/A,607,2,25,0,0,18,141174517,1.417,430.0
15150000,Pinellas,0.867,1.874,1.007,28000,SR-682/54 AVE S,439,1,5,1,0,3,71011626,1.408,618.2
10620000,Hillsborough,0.0,12.71,12.71,8900,E SIDE BRIDGE 104803,361,4,14,2,2,9,284890202,1.404,126.7
10525000,Hillsborough,0.0,4.2,4.2,40500,US-301/SR-43,1593,6,65,0,3,56,428396850,1.401,371.9
02050000,Citrus,7.31,11.514,4.204,27000,CR-491/S LECANTO HWY,288,4,23,1,1,21,285869898,1.399,100.7
14120000,Pasco,23.381,26.634,3.253,35000,14140005 SB ON,558,4,40,0,3,37,286743818,1.395,194.6
15150000,Pinellas,1.874,2.879,1.005,28500,38 AVE S,415,1,11,0,1,8,72136136,1.386,575.3
15200001,Pinellas,0.0,1.424,1.424,20200,GULF BLVD,79,1,5,0,1,5,72444149,1.38,109.0
14571000,Pasco,0.0,2.945,2.945,49000,CR-587/GUNN HWY,551,5,32,0,4,30,363432142,1.376,151.6
02520000,Citrus,2.366,11.897,9.531,9100,N/A,174,3,13,0,3,11,218434794,1.373,79.7
10000374,Hillsborough,0.811,3.258,2.447,11900,COUNTRYWAY BLVD,209,1,8,1,0,5,73336957,1.364,285.0
08010000,Hernando,4.498,7.678,3.18,27500,CR-572/POWELL RD,239,3,24,0,3,20,220242825,1.362,108.5
14090000,Pasco,4.641,9.312,4.671,25000,N/A,1093,4,61,2,1,52,294097837,1.36,371.6
02100000,Citrus,0.0,3.382,3.382,8700,UNSIGNED,45,1,5,0,1,4,74102833,1.349,60.7
10000366,Hillsborough,0.0,2.265,2.265,13000,W TAMPA BAY BLVD,789,1,6,1,0,2,74157232,1.348,1064.0
15150000,Pinellas,31.275,33.146,1.871,63000,N/A,862,4,22,2,0,17,296863151,1.347,290.4
10000129,Hillsborough,0.0,2.746,2.746,21500,N FLORIDA AVE,474,2,6,1,1,3,148689722,1.345,318.8
02000012,Citrus,0.0,3.573,3.573,8300,E ANNA JO DR,140,1,2,1,0,1,74688384,1.339,187.4
10320000,Hillsborough,0.171,0.472,0.301,99000,10190007 EB ON,204,1,2,0,1,2,75048781,1.332,271.8
02000045,Citrus,0.0,5.857,5.857,5100,N CITRUS AVE,56,1,2,1,0,0,75229358,1.329,74.4
10040000,Hillsborough,9.493,11.166,1.673,36000,CR-678/BEARSS AVE,418,2,9,1,1,5,151684218,1.319,275.6
10060000,Hillsborough,12.516,14.269,1.753,34500,PASEO AL MAR BLVD,200,2,8,0,1,7,152315102,1.313,131.3
15000008,Pinellas,0.0,2.531,2.531,12000,CURLEW PL,122,1,7,1,0,5,76491882,1.307,159.5
02080000,Citrus,0.0,25.621,25.621,17800,W HONEYBEE LN,1498,15,79,1,12,64,1148571495,1.306,130.4
14140000,Pasco,0.242,1.358,1.116,137000,I-75 NB,234,5,28,1,2,26,385058502,1.299,60.8
14000042,Pasco,0.0,2.55,2.55,12000,VOORHEES RD,182,1,12,0,0,9,77066100,1.298,236.2
10005000,Hillsborough,1.837,2.845,1.008,30500,SR-574 / E MLK JR BL,437,1,6,1,0,3,77428764,1.292,564.4
10000020,Hillsborough,1.534,9.624,8.09,30500,LINEBAUGH AVE,345,8,15,0,2,7,621427282,1.287,55.5
08505000,Hernando,0.0,6.805,6.805,18200,SR-50/CORTEZ BLVD,283,4,16,1,1,11,311918744,1.282,90.7
10030002,Hillsborough,0.0,1.127,1.127,27500,US-92/SR600/BAKER ST,185,1,2,0,0,2,78054611,1.281,237.0
10000153,Hillsborough,0.0,2.832,2.832,11000,THONOTOSASSA RD,133,1,3,0,0,1,78456312,1.275,169.5
15120000,Pinellas,1.192,2.25,1.058,29500,SR-233 / OAKHURST,246,1,7,0,1,4,78604904,1.272,313.0
14000025,Pasco,0.0,2.444,2.444,13000,CR-1/LITTLE RD,147,1,12,0,0,11,80017782,1.25,183.7
10080000,Hillsborough,1.736,2.622,0.886,36000,S HOWARD AVE,452,1,6,1,0,1,80330076,1.245,562.7
08050000,Hernando,6.117,10.312,4.195,30500,US98/SR50/700/CORTEZ,240,4,19,2,1,17,322235779,1.241,74.5
02010000,Citrus,23.552,29.816,6.264,15400,CR-491/N LECANTO HWY,300,3,35,0,2,31,242948614,1.235,123.5
10110000,Hillsborough,7.936,8.942,1.006,64000,S LAKEWOOD DR,694,2,17,0,1,16,162151104,1.233,428.0
14570002,Pasco,0.176,1.66,1.484,43500,OLD CR 54,403,2,28,0,2,23,162579249,1.23,247.9
14000069,Pasco,0.165,6.863,6.698,4900,TOWN CENTRE ENTR,206,1,18,1,0,14,82657674,1.21,249.2
15514000,Pinellas,0.0,5.074,5.074,19400,EAST BAY DR,1116,3,49,1,0,38,247910059,1.21,450.2
10508000,Hillsborough,0.0,10.954,10.954,15000,SR-60/BRANDON BLVD,1107,5,33,0,3,27,413814735,1.208,267.5
15560000,Pinellas,0.0,5.84,5.84,28500,US-19/SR-55,440,5,20,0,3,15,419179140,1.193,105.0
10110000,Hillsborough,8.942,9.439,0.497,67000,S KINGS AVE,419,1,10,1,0,6,83863531,1.192,499.6
14000049,Pasco,0.0,9.322,9.322,39500,MITCHELL BLVD,1471,11,103,4,0,79,927359551,1.186,158.6
10075000,Hillsborough,6.473,13.089,6.616,122000,Bridge No-100346,1478,24,58,1,22,51,2032812312,1.181,72.7
15120500,Pinellas,0.0,1.571,1.571,21500,N FRONTAGE RD,305,1,11,0,1,10,85066115,1.176,358.5
14010000,Pasco,9.868,11.342,1.474,23000,N/A,328,1,9,0,0,8,85382187,1.171,384.2
08040000,Hernando,1.377,3.877,2.5,41000,JULY AVE,587,3,49,2,0,44,258146250,1.162,227.4
10000191,Hillsborough,0.0,1.672,1.672,20500,CASEY RD,288,1,4,0,1,2,86324106,1.158,333.6
10000132,Hillsborough,0.0,3.023,3.023,11400,W BUSCH BLVD,418,1,3,0,0,3,86793051,1.152,481.6
10000007,Hillsborough,0.0,2.513,2.513,27500,RHODINE ROAD,278,2,20,0,0,19,174047239,1.149,159.7
08070000,Hernando,4.065,7.026,2.961,23500,08150001 NB OFF,292,2,38,0,0,32,175246045,1.141,166.6
10000367,Hillsborough,0.073,3.368,3.295,10700,N/A,46,1,9,1,0,6,88793495,1.126,51.8
10310000,Hillsborough,1.315,2.817,1.502,47000,N/A,752,2,11,2,0,8,177790989,1.125,423.0
10080500,Hillsborough,0.0,3.077,3.077,23000,GANDY BLVD/US-98,499,2,15,0,2,11,178236764,1.122,280.0
10190000,Hillsborough,15.88,17.423,1.543,161000,N/A,730,7,24,0,7,19,625653325,1.119,116.7
10000645,Hillsborough,7.76,9.715,1.955,18200,RACE TRACK RD,162,1,10,0,1,7,89610748,1.116,180.8
10000028,Hillsborough,2.455,4.354,1.899,37500,S HOWARD AVE,191,2,7,0,0,4,179348681,1.115,106.5
15000320,Pinellas,0.0,2.713,2.713,26500,49 ST S,376,2,13,0,2,4,181066298,1.105,207.7
08000019,Hernando,0.0,4.185,4.185,8600,C-574/SPRING HILL DR,142,1,15,1,0,11,90643334,1.103,156.7
10330000,Hillsborough,2.135,3.15,1.015,35500,N/A,264,1,4,0,1,2,90747851,1.102,290.9
08000017,Hernando,0.0,4.161,4.161,26000,COUNTY LINE RD,528,3,19,0,1,19,272466441,1.101,193.8
10002000,Hillsborough,1.5,2.123,0.623,59000,Bridge No-100312,43,1,3,0,0,2,92572505,1.08,46.5
15000305,Pinellas,5.537,9.527,3.99,18500,CR-752 / TAMPA RD,289,2,17,0,2,16,185903077,1.076,155.5
10091000,Hillsborough,0.0,6.904,6.904,10800,JL REDMAN PKWY,71,2,5,1,1,5,187787419,1.065,37.8
15190000,Pinellas,5.27,6.296,1.026,185000,Bridge No-150121,656,5,25,0,4,22,478036485,1.046,137.2
14090000,Pasco,0.0,1.786,1.786,64000,LAND O LAKES BLVD,662,3,37,1,2,31,287874624,1.042,230.0
10190000,Hillsborough,24.713,26.776,2.063,148000,Bridge No-100599,764,8,20,2,6,20,768958494,1.04,99.4
10060000,Hillsborough,9.184,12.516,3.332,46000,19 AVE NE,508,4,26,0,0,21,386015532,1.036,131.6
10470000,Hillsborough,4.127,4.551,0.424,90400,Bridge No-100532,31,1,5,0,1,3,96533098,1.036,32.1
10000010,Hillsborough,0.0,6.296,6.296,12200,E BEARSS AVE,429,2,13,0,1,9,193449007,1.034,221.8
15030000,Pinellas,2.888,3.557,0.669,57500,N/A,397,1,11,1,0,5,96880399,1.032,409.8
02060000,Citrus,0.0,4.031,4.031,9600,S FLORIDA AVE,70,1,5,0,1,2,97459906,1.026,71.8
10310000,Hillsborough,0.0,1.315,1.315,59000,BEG UNDERPASS 100085,425,2,16,0,2,14,195397822,1.024,217.5
10000185,Hillsborough,0.0,3.048,3.048,12800,BRUCE B DOWNS BLVD,65,1,0,0,1,0,98257766,1.018,66.2
15004503,Pinellas,0.0,3.61,3.61,43500,SR-693 / PASADENA AV,299,4,14,0,0,12,395492648,1.011,75.6
10075324,Hillsborough,1.214,2.727,1.513,26000,N/A,32,1,0,0,1,0,99072753,1.009,32.3
14120000,Pasco,2.012,3.028,1.016,39000,CR-1/LITTLE RD,407,1,41,0,0,24,99793044,1.002,407.8
10000504,Hillsborough,0.0,8.863,8.863,4500,CR-672,137,1,13,0,1,7,100446595,0.996,136.4
02000021,Citrus,0.0,3.13,3.13,12800,E GULF TO LAKE HWY,199,1,14,0,1,8,100901184,0.991,197.2
08000036,Hernando,0.0,2.469,2.469,16500,CR-587/MARINER BLVD,220,1,18,0,1,16,102599912,0.975,214.4
10190000,Hillsborough,17.423,21.163,3.74,142500,CR-579/MANGO RD,1292,13,36,3,10,30,1342234575,0.969,96.3
15040000,Pinellas,5.732,9.443,3.711,56000,N/A,637,5,19,0,0,17,523384596,0.955,121.7
02000027,Citrus,0.0,3.073,3.073,13600,W NORVELL BRYANT HWY,221,1,11,0,1,7,105255167,0.95,210.0
10000611,Hillsborough,0.0,1.863,1.863,22500,S ARMENIA AVE,719,1,4,0,0,3,105569224,0.947,681.1
08470000,Hernando,3.46,7.258,3.798,22171,Bridge No-080042,66,2,5,1,1,4,212071446,0.943,31.1
15020000,Pinellas,9.309,11.556,2.247,18800,CR-816/ALDERMAN RD,138,1,8,1,0,5,106390507,0.94,129.7
08020000,Hernando,0.0,1.087,1.087,39000,CR578/COUNTY LINE RD,171,1,10,0,0,8,106766770,0.937,160.2
10190000,Hillsborough,2.153,2.613,0.46,184500,Bridge No-100115,835,2,13,0,0,9,213745095,0.936,390.7
10150000,Hillsborough,7.028,8.412,1.384,62209,EISENHOWER BLVD S,736,2,15,1,1,11,216835939,0.922,339.4
10160000,Hillsborough,2.969,4.818,1.849,70500,10160049 NB ON,817,3,20,0,1,14,328297808,0.914,248.9
10075000,Hillsborough,16.508,20.081,3.573,172000,GIBSONTON DR,1091,14,41,2,10,40,1547759286,0.905,70.5
14000048,Pasco,0.0,3.915,3.915,45000,PINELLAS COUNTY LINE,492,4,40,0,3,35,443696738,0.902,110.9
14000121,Pasco,0.0,2.452,2.452,18000,SR597/DALE MABRY HWY,93,1,6,0,1,5,111156516,0.9,83.7
10150000,Hillsborough,1.84,3.46,1.62,54500,COUNTRYWAY BLVD,339,2,13,0,1,8,222358365,0.899,152.5
10120000,Hillsborough,5.042,6.07,1.028,43000,S PEBBLE BEACH BLVD,251,1,12,0,1,10,111327774,0.898,225.5
15000457,Pinellas,0.0,2.673,2.673,16700,SR-580,242,1,7,1,0,6,112423573,0.889,215.3
08070000,Hernando,0.0,4.065,4.065,22000,CR-541/SPRING LK HWY,236,2,27,0,2,25,225229455,0.888,104.8
15520000,Pinellas,0.0,5.168,5.168,17500,SR-688/WALSINGHAM RD,268,2,5,0,0,2,227773140,0.878,117.7
08000040,Hernando,0.0,10.174,10.174,9000,BROAD ST,212,2,21,0,2,14,230608971,0.867,91.9
08000042,Hernando,0.0,2.778,2.778,16500,FREEPORT DR,175,1,12,0,0,11,115440484,0.866,151.6
15150000,Pinellas,13.04,13.578,0.538,85500,Bridge No-150207,23,1,3,1,0,3,115848482,0.863,19.9
15000289,Pinellas,0.0,3.711,3.711,12500,UNSIGNED,133,1,4,0,1,2,116826919,0.856,113.8
15510000,Pinellas,2.779,8.963,6.184,53000,PARK BLVD,1725,7,51,2,1,31,825443412,0.848,209.0
10000379,Hillsborough,0.0,3.162,3.162,14900,US-301/ SR-43,566,1,63,0,0,59,118656105,0.843,477.0
15230000,Pinellas,2.171,3.26,1.089,43500,N/A,696,1,8,0,0,7,119305123,0.838,583.4
10130001,Hillsborough,0.0,2.96,2.96,48000,W END OF EB BR 300,106,3,7,1,0,1,357828480,0.838,29.6
14010000,Pasco,3.919,4.976,1.057,45000,HALE RD,211,1,13,0,0,11,119792452,0.835,176.1
15070000,Pinellas,1.782,2.797,1.015,47000,N/A,313,1,6,0,0,3,120145043,0.832,260.5
02030000,Citrus,20.742,25.107,4.365,11000,N/A,81,1,9,0,1,5,120925777,0.827,67.0
10140000,Hillsborough,0.0,5.012,5.012,58000,PINELLAS/HILLS CO LN,993,6,21,0,4,14,732117876,0.82,135.6
08040000,Hernando,7.049,9.862,2.813,17500,CR-484/FT DADE AVE,150,1,22,0,1,19,123979459,0.807,121.0
14050000,Pasco,9.103,11.342,2.239,22000,WIRE RD,143,1,30,0,1,29,124056273,0.806,115.3
15080000,Pinellas,1.006,2.127,1.121,44000,N/A,233,1,9,1,0,6,124222494,0.805,187.6
10010000,Hillsborough,14.175,15.693,1.518,65000,SYMMES RD,438,2,32,0,1,26,248500395,0.805,176.3
14000053,Pasco,0.0,3.528,3.528,14000,CR-1/LITTLE RD,274,1,22,0,1,18,124393752,0.804,220.3
15150000,Pinellas,15.306,16.803,1.497,99000,Bridge No-150194,142,3,9,0,1,9,373249256,0.804,38.0
14000045,Pasco,0.0,5.578,5.578,18000,LIVINGSTON AVE,506,2,38,1,0,34,252867474,0.791,200.1
15100000,Pinellas,4.97,7.289,2.319,22000,107 AVE,403,1,12,0,1,3,128488833,0.778,313.6
10190000,Hillsborough,10.533,12.006,1.473,173500,Bridge No-100673,581,5,10,1,3,10,643641712,0.777,90.3
02010000,Citrus,18.475,23.552,5.077,10100,S200/N CARL ROSE HWY,160,1,8,0,0,8,129142887,0.774,123.9
10000271,Hillsborough,0.0,3.029,3.029,17100,SR-60/W BRANDON BLVD,335,1,16,0,1,13,130447974,0.767,256.8
10680000,Hillsborough,1.611,4.021,2.41,43000,KINGS CROSSING DR,1145,2,51,2,0,44,260992155,0.766,438.7
10536000,Hillsborough,0.0,2.534,2.534,20600,BLOOMINGDALE AVE,383,1,10,0,1,10,131466707,0.761,291.3
14140000,Pasco,18.885,20.352,1.467,71500,14140009 SB ON,122,2,8,1,1,7,264166724,0.757,46.2
10010000,Hillsborough,11.171,14.175,3.004,52500,BIG BEND RD,1069,3,35,1,1,30,397192635,0.755,269.1
10540000,Hillsborough,0.0,11.845,11.845,17800,S US-301,247,4,35,0,4,31,531003058,0.753,46.5
14571000,Pasco,6.515,8.289,1.774,60000,N/A,454,2,18,0,2,15,268069140,0.746,169.4
15061000,Pinellas,0.0,0.942,0.942,56500,WEST END BR# 150125,833,1,23,1,0,12,134042126,0.746,621.4
15080000,Pinellas,0.0,1.006,1.006,53000,SR-586/CURLEW RD,206,1,6,0,0,4,134281383,0.745,153.4
15012500,Pinellas,0.0,2.945,2.945,18200,GULF BLVD,466,1,13,1,0,9,134989082,0.741,345.2
14610000,Pasco,2.626,4.509,1.883,28500,CHANCEY RD,316,1,23,0,1,22,135156562,0.74,233.8
14510000,Pasco,2.248,12.088,9.84,22000,BRUMWELL DR,657,4,43,0,1,34,545204880,0.734,120.5
02000056,Citrus,0.0,7.969,7.969,6800,NORVELL BRYANT HWY,60,1,5,0,0,5,136475500,0.733,44.0
14140000,Pasco,11.477,18.885,7.408,73500,14140007 NB OFF,557,10,50,1,6,49,1371293028,0.729,40.6
15150000,Pinellas,11.096,13.04,1.944,56000,Bridge No-150055,305,2,24,1,0,18,274173984,0.729,111.2
15120000,Pinellas,7.209,8.114,0.905,60500,ROSE TREE WAY,452,1,14,0,0,7,137894171,0.725,327.8
14110000,Pasco,0.0,2.742,2.742,20000,HILLSBOROUGH CO LINE,181,1,21,0,0,18,138114540,0.724,131.1
10517000,Hillsborough,0.0,2.653,2.653,41500,W HILLSBOROUGH AVE,973,2,22,1,0,20,277285591,0.721,350.9
10110000,Hillsborough,5.048,6.314,1.266,44500,S US-301/SR-43,354,1,26,0,1,18,141884734,0.705,249.5
10320000,Hillsborough,4.311,5.008,0.697,162500,Bridge No-100220,362,2,11,0,1,10,285251606,0.701,126.9
10690000,Hillsborough,0.0,8.597,8.597,33500,US-301,741,5,40,0,4,32,725326741,0.689,102.2
10000028,Hillsborough,0.0,2.455,2.455,23500,GANDY BLVD,191,1,5,0,1,1,145298561,0.688,131.5
10630500,Hillsborough,0.0,3.635,3.635,16100,W GANDY BLVD,759,1,8,0,0,6,147391435,0.678,515.0
15190000,Pinellas,6.296,7.322,1.026,172000,Bridge No-150090,578,3,13,2,1,12,444444732,0.675,130.0
15501000,Pinellas,1.932,4.043,2.111,28000,N/A,527,1,20,0,0,13,148863498,0.672,354.0
10190000,Hillsborough,26.776,27.982,1.206,147000,Bridge No-100601,645,3,21,1,2,18,446484717,0.672,144.5
15000028,Pinellas,0.0,10.663,10.663,61500,SR-580/MAIN ST,1662,11,67,2,8,54,1651568078,0.666,100.6
15190000,Pinellas,2.555,3.555,1.0,120000,Bridge No-150154,209,2,6,0,2,5,302220000,0.662,69.2
15000317,Pinellas,0.0,2.503,2.503,24000,26 AV S,249,1,10,0,0,7,151291332,0.661,164.6
10060000,Hillsborough,22.033,23.547,1.514,39694,CR-676A/MADISON AVE,531,1,13,0,0,10,151353579,0.661,350.8
15190000,Pinellas,12.477,13.785,1.308,140000,Bridge No-150102,435,3,13,0,3,12,461187720,0.65,94.3
15190000,Pinellas,3.555,4.506,0.951,129000,Bridge No-150131,294,2,5,0,1,5,308967062,0.647,95.2
14091000,Pasco,0.761,1.487,0.726,85000,WESLEY CHAPEL BLVD,446,1,25,1,0,24,155416635,0.643,287.0
10130000,Hillsborough,10.033,11.05,1.017,61000,COLUMBUS DR,611,1,3,0,1,3,156240185,0.64,391.1
10002000,Hillsborough,12.982,13.776,0.794,79000,Bridge No-100465,71,1,5,0,1,4,157975431,0.633,44.9
10110000,Hillsborough,7.08,7.936,0.856,73500,BRANDON TOWN CNTR,935,1,22,1,0,17,158453946,0.631,590.1
10330000,Hillsborough,3.15,4.654,1.504,42000,E SLIGH AVE,631,1,13,1,0,10,159088608,0.629,396.6
10525000,Hillsborough,4.2,5.761,1.561,40500,BELL SHOALS RD,447,1,24,0,1,20,159220829,0.628,280.7
14000155,Pasco,0.0,1.816,1.816,35000,SR-52,22,1,3,0,0,2,160075860,0.625,13.7
10320000,Hillsborough,6.517,7.526,1.009,126500,Bridge No-100231,499,2,10,2,0,9,321457562,0.622,155.2
10075323,Hillsborough,0.0,2.631,2.631,25000,US-301/ SR-43 / NB,45,1,2,0,1,2,165654338,0.604,27.2
14571000,Pasco,3.282,4.427,1.145,57500,N/A,347,1,13,0,1,12,165811744,0.603,209.3
10190000,Hillsborough,0.0,2.153,2.153,184500,EAST END BR 150107,2292,6,29,1,5,28,1000419977,0.6,229.1
10290000,Hillsborough,2.036,4.019,1.983,68500,CR-581 / N 30 ST,1385,2,20,0,1,17,342101707,0.585,404.9
