GEOID20,county,TotPop,AutoOwn0,HH_est,zero_car_share,no_transit,transit_share,A_drive,A_transit
120174514002,Citrus,1336,23,496,0.046370967741935484,False,0.3529411764705882,6050,3300.0
120174514003,Citrus,1336,0,450,0.0,True,0.0,3802,0.0
120174515011,Citrus,1180,21,557,0.03770197486535009,True,0.0,5258,0.0
120174515012,Citrus,1826,32,758,0.04221635883905013,True,0.0,4194,0.0
120174515021,Citrus,1368,26,551,0.047186932849364795,True,0.0,4200,0.0
120174515022,Citrus,2760,109,1057,0.10312204351939451,True,0.0,4764,0.0
120174515023,Citrus,2687,119,1112,0.10701438848920863,True,0.0,4082,0.0
120174516011,Citrus,3983,32,1829,0.017495899398578457,True,0.0,5504,0.0
120174516012,Citrus,1730,60,850,0.07058823529411765,True,0.0,3259,0.0
120174516021,Citrus,2363,0,984,0.0,True,0.0,3883,0.0
120174516022,Citrus,1235,8,777,0.010296010296010296,True,0.0,4257,0.0
120174516023,Citrus,1512,32,720,0.044444444444444446,True,0.0,4415,0.0
120174516024,Citrus,1346,16,600,0.02666666666666667,True,0.0,4232,0.0
120174517001,Citrus,1065,80,613,0.13050570962479607,True,0.0,2575,0.0
120174517002,Citrus,669,13,386,0.03367875647668394,True,0.0,2159,0.0
120174517003,Citrus,642,0,350,0.0,True,0.0,2608,0.0
120174517004,Citrus,1482,29,705,0.04113475177304964,True,0.0,1938,0.0
120530401011,Hernando,2741,12,1053,0.011396011396011397,True,0.0,659,0.0
120530401012,Hernando,1774,18,779,0.023106546854942234,True,0.0,3330,0.0
120530401013,Hernando,802,9,299,0.030100334448160536,True,0.0,1486,0.0
120530401021,Hernando,925,15,388,0.03865979381443299,True,0.0,3908,0.0
120530401022,Hernando,1165,24,446,0.053811659192825115,True,0.0,3021,0.0
120530402011,Hernando,1472,7,589,0.011884550084889643,True,0.0,3406,0.0
120530402012,Hernando,1270,17,494,0.03441295546558704,True,0.0,2257,0.0
120530402021,Hernando,1954,12,721,0.016643550624133148,True,0.0,4555,0.0
120530402022,Hernando,881,18,490,0.036734693877551024,True,0.0,5384,0.0
120530402023,Hernando,3107,0,880,0.0,True,0.0,3707,0.0
120530403011,Hernando,1623,32,639,0.050078247261345854,True,0.0,3226,0.0
120530403021,Hernando,1593,36,679,0.053019145802650956,True,0.0,7799,0.0
120530403022,Hernando,1280,14,557,0.025134649910233394,True,0.0,2787,0.0
120530403023,Hernando,1245,55,421,0.13064133016627077,True,0.0,4130,0.0
120530403031,Hernando,1558,0,717,0.0,True,0.0,4323,0.0
120530403032,Hernando,1153,94,543,0.1731123388581952,True,0.0,3626,0.0
120530404001,Hernando,969,11,337,0.032640949554896145,False,0.1891747624639692,7595,1772.0
120530404002,Hernando,1171,20,690,0.028985507246376812,True,0.0,7719,0.0
120530404003,Hernando,286,17,104,0.16346153846153846,True,0.0,8573,0.0
120530404004,Hernando,317,8,201,0.03980099502487562,False,0.1309948646531465,9984,1505.0
120530405011,Hernando,938,19,509,0.03732809430255403,True,0.0,6243,0.0
120530405012,Hernando,1596,48,519,0.09248554913294797,False,0.1006337135614702,10644,1191.0
120530405013,Hernando,1341,148,728,0.2032967032967033,False,0.1691995947315096,9840,2004.0
120530405021,Hernando,1290,69,526,0.1311787072243346,True,0.0,9664,0.0
120530405022,Hernando,2102,52,716,0.07262569832402235,False,0.3515423187965354,8535,4627.0
120530406011,Hernando,913,8,328,0.024390243902439025,True,0.0,3832,0.0
120530406012,Hernando,1657,47,637,0.07378335949764521,True,0.0,6454,0.0
120530406021,Hernando,766,11,325,0.033846153846153845,True,0.0,6634,0.0
120530406022,Hernando,2160,18,838,0.021479713603818614,True,0.0,3701,0.0
120530407011,Hernando,2923,0,1005,0.0,True,0.0,4170,0.0
120530407012,Hernando,3261,0,1109,0.0,True,0.0,6640,0.0
120530407021,Hernando,2062,69,910,0.07582417582417582,True,0.0,4747,0.0
120530407022,Hernando,2577,6,929,0.006458557588805167,True,0.0,8933,0.0
120530408011,Hernando,1546,44,622,0.0707395498392283,True,0.0,9937,0.0
120530408012,Hernando,1118,31,639,0.048513302034428794,False,0.1485578150259508,10007,1746.0
120530408013,Hernando,1040,42,660,0.06363636363636363,True,0.0,9991,0.0
120530408021,Hernando,2867,0,1233,0.0,True,0.0,8947,0.0
120530408022,Hernando,1682,30,1009,0.02973240832507433,True,0.0,12371,0.0
120530409011,Hernando,2728,134,1182,0.11336717428087986,False,0.0580683389294884,14307,882.0
120530409012,Hernando,1973,0,752,0.0,False,0.0330947433233279,12563,430.0
120530409013,Hernando,955,0,404,0.0,False,0.0030812324929971,14236,44.0
120530409051,Hernando,2971,82,1545,0.05307443365695793,True,0.0,13491,0.0
120530409052,Hernando,1717,0,658,0.0,True,0.0,12877,0.0
120530409053,Hernando,1353,0,496,0.0,False,0.010365379632029,15276,160.0
120530409061,Hernando,1400,39,658,0.05927051671732523,False,0.0236946822621488,16193,393.0
120530409062,Hernando,1614,56,641,0.0873634945397816,False,0.032111481369282,15975,530.0
120530409063,Hernando,3789,17,1173,0.014492753623188406,True,0.0,15659,0.0
120530409071,Hernando,1514,0,533,0.0,False,0.0146238991678112,12196,181.0
120530409072,Hernando,1298,0,494,0.0,False,0.0066135946111451,16222,108.0
120530409081,Hernando,4168,33,1638,0.020146520146520148,True,0.0,10683,0.0
120530409082,Hernando,3189,0,1098,0.0,False,0.0196293516540615,16981,340.0
120530409091,Hernando,2764,97,943,0.10286320254506894,True,0.0,14499,0.0
120530409092,Hernando,2005,28,929,0.030139935414424113,True,0.0,13354,0.0
120530409101,Hernando,2640,67,968,0.06921487603305786,True,0.0,10773,0.0
120530409102,Hernando,1194,12,520,0.023076923076923078,True,0.0,4794,0.0
120530409111,Hernando,2417,14,525,0.02666666666666667,False,0.1134932036689136,16044,2054.0
120530409112,Hernando,3009,47,1031,0.04558680892337536,True,0.0,13378,0.0
120530410031,Hernando,1384,9,477,0.018867924528301886,False,0.2010928961748634,14620,3680.0
120530410032,Hernando,1742,113,663,0.17043740573152338,True,0.0,10294,0.0
120530410041,Hernando,2588,20,906,0.02207505518763797,False,0.1355711360675063,13932,2185.0
120530410042,Hernando,2575,87,1037,0.08389585342333655,True,0.0,12826,0.0
120530410043,Hernando,1647,28,670,0.041791044776119404,False,0.2122203323302368,12042,3244.0
120530410051,Hernando,1349,35,530,0.0660377358490566,False,0.1286384976525821,13920,2055.0
120530410052,Hernando,1134,8,350,0.022857142857142857,False,0.1293119350673307,14160,2103.0
120530410061,Hernando,2818,15,840,0.017857142857142856,True,0.0,13184,0.0
120530410062,Hernando,2385,15,849,0.0176678445229682,False,0.2871180797938034,13276,5347.0
