GEOID20,county,r_route,r_band10,r_band20,r_band30,r_band40,r_proximity
120570001011,Hillsborough,0.100366,0.084380,0.104965,0.131854,0.090317,0.090808
120570001012,Hillsborough,0.106710,0.092761,0.111286,0.134146,0.092385,0.090670
120570001013,Hillsborough,0.096632,0.089180,0.095400,0.140998,0.077576,0.091035
120570001014,Hillsborough,0.102244,0.095442,0.103921,0.120872,0.092667,0.089807
120570001021,Hillsborough,0.113761,0.112234,0.115456,0.123046,0.095244,0.089595
120570001022,Hillsborough,0.106393,0.093954,0.113281,0.118097,0.094034,0.090393
120570001023,Hillsborough,0.112142,0.099112,0.118443,0.132515,0.092670,0.090679
120570001024,Hillsborough,0.129046,0.144403,0.130183,0.104035,0.101333,0.090742
120570002011,Hillsborough,0.109609,0.119275,0.106155,0.118131,0.091441,0.089820
120570002012,Hillsborough,0.101656,0.113054,0.096713,0.092625,0.086201,0.089837
120570002021,Hillsborough,0.110456,0.103203,0.114310,0.122769,0.095168,0.089792
120570002022,Hillsborough,0.087685,0.089410,0.082850,0.113963,0.081103,0.089986
120570002023,Hillsborough,0.103017,0.098873,0.104328,0.118814,0.090856,0.089711
120570003011,Hillsborough,0.097969,0.105611,0.096250,0.088161,0.084643,0.089705
120570003012,Hillsborough,0.095703,0.104539,0.093297,0.090354,0.086236,0.089531
120570003013,Hillsborough,0.101094,0.116314,0.093145,0.083116,0.085368,0.089620
120570003014,Hillsborough,0.108472,0.122292,0.102719,0.092177,0.088081,0.089614
120570003021,Hillsborough,0.105792,0.101566,0.108210,0.117457,0.091454,0.089562
120570003022,Hillsborough,0.110022,0.110889,0.115308,0.095267,0.092054,0.089569
120570004011,Hillsborough,0.092519,0.092425,0.094731,0.088589,0.084100,0.089995
120570004012,Hillsborough,0.101867,0.112885,0.097884,0.088411,0.088137,0.090142
120570004013,Hillsborough,0.094748,0.098986,0.095570,0.084367,0.083678,0.089915
120570004021,Hillsborough,0.095083,0.100204,0.096544,0.081030,0.081597,0.089744
120570004022,Hillsborough,0.095147,0.099399,0.096169,0.084386,0.084033,0.089627
120570004023,Hillsborough,0.098150,0.107192,0.095872,0.083198,0.085039,0.089640
120570005001,Hillsborough,0.102066,0.107094,0.104803,0.090956,0.085593,0.090132
120570005002,Hillsborough,0.098285,0.107947,0.097678,0.086616,0.085803,0.089853
120570005003,Hillsborough,0.098905,0.104303,0.100212,0.085607,0.086498,0.090134
120570005004,Hillsborough,0.095981,0.101769,0.097045,0.084577,0.086466,0.090292
120570006011,Hillsborough,0.102762,0.109243,0.107446,0.083189,0.088946,0.090177
120570006012,Hillsborough,0.099570,0.106838,0.098492,0.084396,0.089150,0.089950
120570006013,Hillsborough,0.105008,0.114019,0.107805,0.082979,0.090175,0.089985
120570006021,Hillsborough,0.099065,0.111201,0.093717,0.077924,0.084952,0.089718
120570006022,Hillsborough,0.097830,0.109645,0.093095,0.076223,0.085178,0.089642
120570007011,Hillsborough,0.091865,0.102499,0.085269,0.078484,0.084919,0.089572
120570007012,Hillsborough,0.091380,0.100820,0.086164,0.076916,0.085848,0.089540
120570007021,Hillsborough,0.112897,0.126870,0.109869,0.086586,0.093807,0.089374
120570007022,Hillsborough,0.113753,0.130153,0.109026,0.087127,0.093199,0.089299
120570008001,Hillsborough,0.092326,0.099631,0.090033,0.088771,0.083533,0.089752
120570008002,Hillsborough,0.116605,0.133650,0.113185,0.098999,0.097650,0.090364
120570009011,Hillsborough,0.115669,0.128746,0.116017,0.096862,0.092088,0.090453
120570009012,Hillsborough,0.117954,0.126185,0.120601,0.102354,0.095194,0.090597
120570009013,Hillsborough,0.113916,0.120248,0.116316,0.098678,0.099625,0.090349
120570009021,Hillsborough,0.132283,0.152411,0.131004,0.106478,0.103334,0.090641
120570009022,Hillsborough,0.117177,0.128292,0.117020,0.101805,0.098857,0.090377
120570009023,Hillsborough,0.131664,0.152338,0.130756,0.105621,0.101713,0.090529
