roadway,county,begin_post,end_post,length_mi,aadt,description,ksi_observed,ksi_spf,eb_weight,ksi_eb,vmt_period,r_per_pmt
14000132,Pasco,0.0,1.002,1.002,5000,DAUGHTERY RD,0,1.191,0.4091,0.487,12617685,0.063749
14000007,Pasco,0.0,3.612,3.612,1400,PAUL S BUCHMAN HWY,2,1.930,0.2992,1.979,12735551,0.450083
14000075,Pasco,0.0,1.405,1.405,3600,US-19/SR-55,2,1.359,0.3776,1.758,12738573,0.304730
15000001,Pinellas,0.0,2.038,2.038,2500,SEMINOLE ST,2,1.567,0.3447,1.851,12831757,0.219325
15000137,Pinellas,0.0,1.039,1.039,2500,PASS-A-GRILLE WAY,0,0.799,0.5078,0.406,6541804,0.102419
15000042,Pinellas,0.0,1.3,1.3,2000,N KEENE RD,0,0.869,0.4868,0.423,6548100,0.106685
10020000,Hillsborough,0.743,1.009,0.266,9800,E ESTELLE ST,2,0.736,0.6634,1.162,6565226,0.390752
10000070,Hillsborough,0.0,2.034,2.034,1300,S DAVIS ROUNDABOUT,2,1.038,0.4427,1.574,6659418,0.521935
15000256,Pinellas,0.0,1.546,1.546,1750,SR-688 / ULMERTON RD,2,0.951,0.4645,1.513,6813802,0.337524
10030000,Hillsborough,6.498,6.977,0.479,17900,GARDEN LN,4,2.159,0.4020,3.260,21593871,0.482470
08050000,Hernando,11.725,12.476,0.751,7700,US41/SR45/N BROAD ST,14,1.710,0.4590,8.359,14563730,0.882529
10075356,Hillsborough,0.0,0.303,0.303,9600,SR 582 FOWLER AVE WB,4,0.569,0.6363,1.817,7325813,0.500126
14050000,Pasco,11.342,11.637,0.295,30000,US-98/SR-35/SR-700,14,2.019,0.4182,8.990,22288725,0.758953
15190014,Pinellas,0.0,0.441,0.441,6700,31 ST S,2,0.615,0.6182,1.144,7441412,0.339383
15504000,Pinellas,0.0,3.216,3.216,6500,66 TH ST N / SR-693,12,4.507,0.1546,10.841,52646724,0.251943
08070000,Hernando,8.543,9.519,0.976,9300,US-301 / SR-35,12,1.785,0.3580,8.343,22859921,0.857293
08000024,Hernando,0.0,1.168,1.168,2600,US-41/SR-45/BROAD ST,2,1.105,0.5678,1.492,7648181,0.296574
10270114,Hillsborough,0.0,0.529,0.529,17500,BR# 100675 FROM TIA,0,1.633,0.3787,0.619,23315014,0.043805
10190450,Hillsborough,0.0,0.294,0.294,10500,21 ST,1,0.595,0.6261,0.746,7774610,0.223653
14000106,Pasco,0.0,3.269,3.269,950,CR-578/ST JOE RD,0,1.370,0.3757,0.515,7821328,0.108640
10000016,Hillsborough,0.0,2.645,2.645,2400,E KEYSVILLE RD,1,1.983,0.2937,1.289,15987438,0.127343
10060000,Hillsborough,26.226,26.565,0.339,37500,CR-574/BROADWAY AVE,4,2.780,0.3430,3.582,32016431,0.159647
14000166,Pasco,0.0,1.353,1.353,2400,BOYETE RD,1,1.014,0.4483,1.006,8178073,0.194426
10330000,Hillsborough,0.155,0.911,0.756,26000,E 21 AVE,9,4.609,0.2395,7.949,49503636,0.275237
10140104,Hillsborough,0.097,0.444,0.347,9500,N/A,1,0.646,0.6065,0.785,8302235,0.220412
02000037,Citrus,0.0,1.503,1.503,2200,N FLORIDA AVE,1,1.067,0.4359,1.029,8327672,0.287976
10020101,Hillsborough,1.546,1.822,0.276,12000,E FLORIBRASKA AVE,0,0.900,0.6172,0.556,8341272,0.109973
15000203,Pinellas,0.25,1.036,0.786,4400,N/A,2,0.973,0.5994,1.384,8709980,0.350993
02040000,Citrus,5.44,6.681,1.241,14000,CR-491/N LECANTO HWY,9,4.585,0.2404,7.938,43756419,0.547437
10620500,Hillsborough,0.0,1.585,1.585,6600,US-301/FT KING HWY,2,2.242,0.2688,2.065,26346028,0.227022
15150000,Pinellas,4.874,5.876,1.002,38500,US19A/SR595/5 AVE N,19,5.944,0.1435,17.127,97156175,0.501558
08010000,Hernando,9.687,10.077,0.39,9000,CR-445/S MAIN ST,2,1.008,0.5902,1.414,8839935,0.353325
14000020,Pasco,0.0,3.359,3.359,2100,CR-595/GRAND BLVD,5,2.316,0.2625,4.295,17765247,0.469070
08010000,Hernando,10.362,11.328,0.966,11052,CR484/MONDON HILL RD,6,2.947,0.3299,4.993,26888090,0.539382
10570000,Hillsborough,0.0,4.973,4.973,1450,MANATEE CO LINE,4,2.717,0.2328,3.701,18160526,0.531197
10000205,Hillsborough,0.0,0.535,0.535,6900,COLLINS ELM SCHOOL,0,0.778,0.5144,0.400,9297043,0.071103
15061000,Pinellas,6.946,7.16,0.214,17500,CR-376/142 AVE N,5,0.947,0.6051,2.548,9431783,0.375383
15120000,Pinellas,0.0,1.192,1.192,16200,SR-699 / GULF BLVD,4,4.956,0.2265,4.217,48633242,0.328202
14570002,Pasco,0.0,0.176,0.176,44000,OLD MILL POND DR,11,1.643,0.4691,6.610,19503264,0.686882
10060001,Hillsborough,0.0,0.367,0.367,32000,OLD COLUMBUS DR(UNS),4,2.647,0.3541,3.521,29577264,0.310254
15190304,Pinellas,0.0,0.28,0.28,14000,SR-682/PINELLAS BAYW,0,0.719,0.5808,0.417,9872520,0.069804
14030000,Pasco,11.474,13.838,2.364,51500,N/A,60,17.844,0.0528,57.772,306617301,0.428867
10190200,Hillsborough,0.0,3.048,3.048,3900,PARK RD,6,3.099,0.2101,5.391,29937913,0.523030
14050000,Pasco,3.764,4.425,0.661,24000,SR-39,11,3.777,0.2776,8.995,39953484,0.367768
10270000,Hillsborough,2.748,2.874,0.126,31500,US-92/SR-600,1,0.897,0.6180,0.937,9995926,0.148021
15000142,Pinellas,0.0,3.748,3.748,6400,49 ST S,25,5.201,0.1368,22.291,60411763,0.489620
15070001,Pinellas,0.0,0.479,0.479,8400,BROADWAY,1,0.957,0.6034,0.974,10133437,0.151838
10020000,Hillsborough,1.328,1.608,0.28,14500,E COLUMBUS DR,1,1.064,0.5769,1.037,10225110,0.160239
14140001,Pasco,0.0,0.239,0.239,17000,CR-54 EB,0,0.720,0.5802,0.418,10232666,0.067444
