GEOID20,county,r_route,r_band10,r_band20,r_band30,r_band40,r_proximity
121030251091,Pinellas,0.109940,0.121751,0.130290,0.077948,0.067426,0.096295
121030251092,Pinellas,0.099531,0.097666,0.121807,0.073449,0.067995,0.096592
121030251093,Pinellas,0.119793,0.122747,0.141944,0.097628,0.069761,0.097703
121030251101,Pinellas,0.096184,0.112129,0.105061,0.091243,0.064136,0.096196
121030251102,Pinellas,0.100602,0.100740,0.120321,0.088293,0.063030,0.096214
121030251103,Pinellas,0.122945,0.135062,0.141133,0.106952,0.071272,0.097440
121030251104,Pinellas,0.123154,0.145541,0.140557,0.101852,0.068554,0.096766
121030251111,Pinellas,0.108374,0.115830,0.121748,0.083002,0.088429,0.096350
121030251112,Pinellas,0.106465,0.112644,0.118083,0.084589,0.090035,0.096077
121030251113,Pinellas,0.108642,0.112522,0.119294,0.092440,0.090643,0.096090
121030251114,Pinellas,0.115361,0.124544,0.127854,0.092861,0.088759,0.096446
121030251121,Pinellas,0.112427,0.124244,0.116651,0.097983,0.090009,0.096168
121030251122,Pinellas,0.117856,0.139807,0.115392,0.102042,0.090434,0.095902
121030251131,Pinellas,0.137549,0.181796,0.140705,0.105555,0.099243,0.096712
121030251132,Pinellas,0.134689,0.165779,0.138750,0.104606,0.098777,0.096545
121030251133,Pinellas,0.127965,0.149391,0.135129,0.104633,0.098768,0.096480
121030251141,Pinellas,0.136681,0.180413,0.129436,0.110677,0.093252,0.095917
121030251142,Pinellas,0.126282,0.152521,0.124685,0.109448,0.092391,0.095810
121030251151,Pinellas,0.115626,0.139235,0.114690,0.102553,0.089907,0.095132
121030251152,Pinellas,0.115750,0.140454,0.112152,0.100746,0.089786,0.095046
121030251161,Pinellas,0.133910,0.175622,0.129519,0.106886,0.093492,0.095567
121030251162,Pinellas,0.119355,0.144774,0.116629,0.101628,0.090650,0.095437
121030251191,Pinellas,0.121492,0.143190,0.126839,0.107658,0.097236,0.095776
121030251192,Pinellas,0.102101,0.108406,0.107377,0.096009,0.089561,0.094618
121030251193,Pinellas,0.099891,0.105187,0.104959,0.094237,0.087665,0.094966
121030251201,Pinellas,0.123755,0.143680,0.130515,0.108636,0.097561,0.095751
121030251202,Pinellas,0.099087,0.096417,0.104142,0.092857,0.097546,0.095892
121030251203,Pinellas,0.119715,0.145443,0.124865,0.100555,0.097316,0.096013
121030251211,Pinellas,0.095274,0.092129,0.099668,0.091239,0.092391,0.096428
121030251212,Pinellas,0.110420,0.110975,0.123683,0.101415,0.084677,0.096277
121030251221,Pinellas,0.093928,0.091650,0.097939,0.093663,0.084427,0.096545
121030251222,Pinellas,0.097706,0.093429,0.100359,0.094017,0.097995,0.096572
121030251223,Pinellas,0.108874,0.125436,0.108957,0.100292,0.102537,0.095922
121030251231,Pinellas,0.099752,0.102165,0.102065,0.094367,0.097870,0.096100
121030251232,Pinellas,0.102503,0.106754,0.105329,0.095601,0.099293,0.095699
121030252041,Pinellas,0.110021,0.112223,0.112450,0.111817,0.095063,0.095214
121030252042,Pinellas,0.097250,0.092192,0.098542,0.105667,0.091751,0.095202
121030252051,Pinellas,0.108342,0.125582,0.108509,0.101352,0.097387,0.094812
121030252052,Pinellas,0.099203,0.106499,0.100542,0.096060,0.091700,0.094725
121030252053,Pinellas,0.115477,0.147407,0.112686,0.105452,0.098265,0.094044
121030252054,Pinellas,0.102014,0.124254,0.095899,0.097467,0.092417,0.094319
121030252071,Pinellas,0.101238,0.091182,0.109169,0.104218,0.092297,0.094880
121030252072,Pinellas,0.104790,0.121122,0.103772,0.097594,0.086576,0.094312
121030252073,Pinellas,0.099222,0.112056,0.096050,0.095386,0.086126,0.094163
121030252074,Pinellas,0.094265,0.082143,0.104255,0.096413,0.086242,0.094476
121030252081,Pinellas,0.087565,0.070603,0.090100,0.096056,0.090413,0.094265
121030252082,Pinellas,0.095258,0.106627,0.091633,0.094338,0.089323,0.094136
121030252091,Pinellas,0.081309,0.053530,0.087881,0.094540,0.086498,0.094259
121030252092,Pinellas,0.097668,0.105303,0.095534,0.097051,0.090698,0.094054
121030252093,Pinellas,0.099554,0.111371,0.096611,0.097849,0.088698,0.094131
121030252094,Pinellas,0.103162,0.114394,0.104883,0.097494,0.088586,0.094433
121030252101,Pinellas,0.086608,0.058881,0.096670,0.101331,0.089913,0.094755
121030252102,Pinellas,0.085802,0.055994,0.094105,0.098412,0.090273,0.094249
121030252111,Pinellas,0.102539,0.093703,0.107184,0.111603,0.093999,0.095116
121030252112,Pinellas,0.103705,0.092417,0.113219,0.107437,0.093807,0.095054
121030253031,Pinellas,0.105287,0.112820,0.109290,0.096943,0.085401,0.094469
121030253032,Pinellas,0.121803,0.132717,0.123061,0.113783,0.096561,0.095112
121030253033,Pinellas,0.108446,0.111632,0.113229,0.103879,0.089890,0.095096
121030253051,Pinellas,0.101199,0.103003,0.106965,0.095974,0.085429,0.094642
121030253052,Pinellas,0.107429,0.112500,0.112749,0.100355,0.087766,0.094467
121030253071,Pinellas,0.107110,0.127025,0.104656,0.095620,0.084960,0.094292
121030253072,Pinellas,0.111728,0.133868,0.108511,0.096014,0.084908,0.094381
121030253091,Pinellas,0.110369,0.105928,0.119456,0.109156,0.094906,0.094918
121030253092,Pinellas,0.107983,0.115210,0.111837,0.100277,0.087266,0.094673
121030253101,Pinellas,0.118573,0.152865,0.111889,0.097761,0.086858,0.094352
121030253111,Pinellas,0.105680,0.113892,0.108409,0.097989,0.087134,0.094440
121030253112,Pinellas,0.104522,0.112577,0.106445,0.097275,0.086389,0.094360
121030253113,Pinellas,0.111430,0.126835,0.111654,0.100117,0.088721,0.094617
121030254011,Pinellas,0.114076,0.129908,0.113181,0.100543,0.090197,0.095841
121030254012,Pinellas,0.114586,0.135487,0.114910,0.095638,0.086290,0.095677
121030254013,Pinellas,0.114005,0.128056,0.115627,0.098732,0.088866,0.095322
121030254071,Pinellas,0.121518,0.129285,0.125526,0.112650,0.097528,0.095174
121030254072,Pinellas,0.123132,0.147818,0.116948,0.106467,0.092609,0.094645
121030254073,Pinellas,0.120145,0.135246,0.119333,0.110591,0.095202,0.095240
121030254111,Pinellas,0.099375,0.098511,0.105146,0.096693,0.085339,0.093583
121030254121,Pinellas,0.101697,0.109332,0.107812,0.089149,0.081072,0.095295
121030254122,Pinellas,0.120168,0.141450,0.118554,0.104124,0.095384,0.094967
121030254123,Pinellas,0.105564,0.115503,0.109373,0.093127,0.084128,0.095610
121030254131,Pinellas,0.112673,0.133492,0.113051,0.095333,0.083846,0.095783
121030254132,Pinellas,0.100258,0.113034,0.101729,0.089551,0.080903,0.094784
121030254133,Pinellas,0.092051,0.087426,0.099041,0.089054,0.084065,0.094212
121030254141,Pinellas,0.107712,0.118374,0.107853,0.099058,0.086930,0.093286
121030254142,Pinellas,0.121412,0.143104,0.119608,0.109144,0.095026,0.094556
121030254151,Pinellas,0.104764,0.111150,0.109285,0.094306,0.084161,0.093002
121030254152,Pinellas,0.117957,0.137281,0.114773,0.101712,0.088794,0.094165
121030254153,Pinellas,0.111347,0.128912,0.108064,0.099940,0.087460,0.093887
121030254161,Pinellas,0.121924,0.146485,0.115934,0.105430,0.091816,0.094440
121030254162,Pinellas,0.125719,0.146314,0.123418,0.110964,0.095413,0.094870
121030254171,Pinellas,0.116396,0.133585,0.116430,0.102104,0.088481,0.094057
121030254172,Pinellas,0.111720,0.117785,0.118410,0.102089,0.088229,0.094806
121030254181,Pinellas,0.101546,0.100831,0.106567,0.099012,0.086898,0.092633
121030254182,Pinellas,0.100431,0.099449,0.107502,0.095008,0.084936,0.092733
121030254191,Pinellas,0.107843,0.120535,0.108628,0.095362,0.084638,0.093461
121030254192,Pinellas,0.101688,0.100653,0.107171,0.098999,0.087247,0.092942
121030254193,Pinellas,0.101548,0.100923,0.107483,0.098254,0.086477,0.093098
121030254201,Pinellas,0.094459,0.094833,0.100627,0.086728,0.079563,0.094542
121030254202,Pinellas,0.075295,0.093544,0.077212,0.064898,0.068633,0.090841
121030254211,Pinellas,0.095464,0.100126,0.099624,0.089710,0.080530,0.094855
121030254212,Pinellas,0.090273,0.088515,0.092252,0.090683,0.081813,0.094180
121030255011,Pinellas,0.112905,0.129836,0.111653,0.101437,0.089655,0.096107
121030255012,Pinellas,0.113021,0.125991,0.113494,0.103758,0.091400,0.096040
121030255013,Pinellas,0.115744,0.130461,0.115058,0.104813,0.092883,0.095990
121030255051,Pinellas,0.123354,0.142152,0.119074,0.110840,0.096053,0.096372
121030255052,Pinellas,0.116009,0.129937,0.110591,0.111331,0.095910,0.096259
121030255071,Pinellas,0.110015,0.116202,0.110659,0.105810,0.096705,0.095852
121030255072,Pinellas,0.117853,0.128157,0.119763,0.110357,0.095428,0.095158
121030255081,Pinellas,0.121587,0.130830,0.124258,0.111672,0.097596,0.095330
121030255082,Pinellas,0.120577,0.130946,0.122331,0.111607,0.097093,0.095173
121030255091,Pinellas,0.123873,0.141386,0.122490,0.111564,0.097390,0.095486
121030255092,Pinellas,0.135336,0.161601,0.126256,0.119999,0.104214,0.096002
121030255101,Pinellas,0.122759,0.143016,0.119845,0.109171,0.096475,0.096359
121030255102,Pinellas,0.126285,0.149022,0.121438,0.110207,0.100497,0.096242
121030255103,Pinellas,0.133558,0.161518,0.124988,0.115777,0.102021,0.095705
121030256021,Pinellas,0.132359,0.163862,0.121419,0.119391,0.108663,0.096183
121030256022,Pinellas,0.119891,0.142557,0.112932,0.107953,0.093807,0.095953
121030256023,Pinellas,0.119012,0.140446,0.112889,0.106581,0.091513,0.095587
121030256031,Pinellas,0.111267,0.128460,0.112042,0.100306,0.088039,0.095309
121030256032,Pinellas,0.118745,0.136718,0.116066,0.107007,0.089627,0.095506
121030256041,Pinellas,0.124411,0.141978,0.120939,0.114942,0.097803,0.095283
121030257001,Pinellas,,,,,,
121030257002,Pinellas,0.128261,0.157156,0.120434,0.118894,0.102219,0.095631
121030257003,Pinellas,0.105718,0.112063,0.104288,0.106998,0.091058,0.096353
121030258001,Pinellas,0.115262,0.134315,0.112066,0.102300,0.089098,0.096259
121030258002,Pinellas,0.119740,0.136903,0.115104,0.110557,0.094837,0.096552
121030258003,Pinellas,0.117044,0.132181,0.114081,0.109925,0.094671,0.096562
121030259011,Pinellas,0.110929,0.123109,0.105827,0.107106,0.095655,0.096137
121030259012,Pinellas,0.108512,0.113735,0.107308,0.108245,0.093494,0.096508
121030259013,Pinellas,0.112671,0.122740,0.109946,0.109854,0.094243,0.096456
121030259021,Pinellas,0.103710,0.106586,0.102565,0.105003,0.093120,0.096601
121030259022,Pinellas,0.108709,0.114702,0.105268,0.109296,0.097470,0.096226
121030260011,Pinellas,0.107622,0.086505,0.113779,0.111545,0.106112,0.095780
121030260012,Pinellas,0.117616,0.122860,0.120208,0.116284,0.106580,0.095879
121030260013,Pinellas,0.122484,0.132997,0.125819,0.116796,0.104138,0.096121
121030260031,Pinellas,0.124093,0.152981,0.124497,0.116868,0.108919,0.095708
121030260032,Pinellas,0.138751,0.186759,0.141533,0.125816,0.120474,0.095664
121030260041,Pinellas,0.121790,0.136590,0.125160,0.117722,0.113817,0.095767
121030261011,Pinellas,0.104829,0.114971,0.107679,0.095386,0.088517,0.096809
121030261012,Pinellas,0.107407,0.121307,0.108354,0.095143,0.088586,0.096856
121030261021,Pinellas,0.111255,0.114646,0.115319,0.108983,0.097338,0.097966
121030262001,Pinellas,0.115707,0.136369,0.114404,0.100340,0.091235,0.096463
121030262002,Pinellas,0.106415,0.121515,0.106451,0.093816,0.087096,0.096734
121030263001,Pinellas,0.112402,0.125287,0.112660,0.102585,0.094368,0.098198
121030263002,Pinellas,0.112614,0.119202,0.121657,0.101351,0.093926,0.098096
121030263003,Pinellas,0.108794,0.119684,0.113224,0.098563,0.089053,0.097773
121030263004,Pinellas,0.117849,0.135979,0.118718,0.102803,0.091231,0.097670
121030263005,Pinellas,0.106135,0.117751,0.107291,0.096803,0.088153,0.096202
121030263006,Pinellas,0.095169,0.105556,0.098269,0.084882,0.080597,0.096263
121030264011,Pinellas,0.116002,0.130273,0.114473,0.106710,0.093826,0.096080
121030264012,Pinellas,0.108873,0.116982,0.108735,0.104652,0.093221,0.096244
121030264013,Pinellas,0.108256,0.117656,0.106645,0.103072,0.094518,0.096171
121030264021,Pinellas,0.114090,0.127631,0.111576,0.105642,0.092661,0.095965
121030264022,Pinellas,0.100771,0.103796,0.098898,0.100908,0.092620,0.096402
121030264023,Pinellas,0.119956,0.121823,0.124282,0.119151,0.101484,0.096130
121030265011,Pinellas,0.104694,0.108707,0.107750,0.101068,0.089499,0.096162
121030265012,Pinellas,0.111899,0.120000,0.113402,0.105651,0.091784,0.096709
121030265021,Pinellas,0.101781,0.102738,0.107977,0.098938,0.086634,0.097214
121030265022,Pinellas,0.105311,0.110174,0.109662,0.100574,0.087815,0.097171
121030265023,Pinellas,0.089335,0.086633,0.092367,0.091347,0.083106,0.096687
121030266011,Pinellas,0.113008,0.131057,0.109160,0.101671,0.089679,0.096558
121030266012,Pinellas,0.113380,0.134348,0.113313,0.095147,0.084232,0.096042
121030266013,Pinellas,0.110413,0.130029,0.106742,0.097679,0.086954,0.096362
121030266021,Pinellas,0.109179,0.117973,0.112254,0.103125,0.089953,0.096636
121030266022,Pinellas,0.103757,0.109682,0.105406,0.099371,0.086668,0.096639
121030267011,Pinellas,0.112345,0.119601,0.122007,0.099804,0.093584,0.098094
121030267012,Pinellas,0.107569,0.114576,0.113752,0.097372,0.093052,0.097867
121030267013,Pinellas,0.116691,0.133066,0.121313,0.100084,0.094133,0.097503
121030267014,Pinellas,0.107237,0.113242,0.111248,0.100576,0.093178,0.097687
121030267031,Pinellas,0.104616,0.107385,0.110770,0.099293,0.086165,0.096466
121030267032,Pinellas,0.085217,0.081142,0.088134,0.087115,0.078768,0.095660
121030267033,Pinellas,0.096412,0.098276,0.102246,0.087640,0.080132,0.094800
121030267034,Pinellas,0.106338,0.120575,0.106074,0.094733,0.083411,0.095899
121030267035,Pinellas,0.099383,0.108131,0.101441,0.091830,0.081344,0.095573
121030267041,Pinellas,0.095023,0.097574,0.098723,0.091739,0.080667,0.096246
121030267042,Pinellas,0.086690,0.090486,0.089221,0.082544,0.077124,0.096343
121030267043,Pinellas,0.074740,0.074131,0.078015,0.073442,0.065842,0.095747
121030267051,Pinellas,0.103575,0.114002,0.111294,0.088673,0.086376,0.097394
121030267052,Pinellas,0.101885,0.114444,0.108603,0.086018,0.084637,0.096717
121030267053,Pinellas,0.112760,0.122313,0.115169,0.105572,0.093007,0.097000
121030268041,Pinellas,0.075158,0.086229,0.076470,0.066049,0.069048,0.094195
121030268042,Pinellas,0.073333,0.068918,0.077954,0.074028,0.066065,0.094787
121030268043,Pinellas,0.066324,0.062954,0.069619,0.064204,0.066645,0.093644
121030268091,Pinellas,0.077209,0.093758,0.075669,0.069067,0.070089,0.090840
121030268092,Pinellas,0.071351,0.070120,0.075148,0.066077,0.067547,0.091960
121030268111,Pinellas,0.094434,0.110680,0.089066,0.086925,0.091174,0.097873
121030268112,Pinellas,0.089266,0.108458,0.087072,0.075587,0.087620,0.096168
121030268113,Pinellas,0.089269,0.103654,0.089033,0.079679,0.088918,0.096386
121030268114,Pinellas,0.097782,0.115174,0.091687,0.088812,0.091783,0.096873
121030268121,Pinellas,0.093439,0.111608,0.088217,0.084144,0.086849,0.096590
121030268122,Pinellas,0.093726,0.129281,0.083391,0.075899,0.080497,0.095080
121030268123,Pinellas,0.082083,0.111671,0.072238,0.069061,0.075243,0.094629
121030268124,Pinellas,0.098960,0.122717,0.091100,0.086088,0.088301,0.096949
121030268131,Pinellas,0.091195,0.151821,0.085346,0.072500,0.081538,0.094248
121030268132,Pinellas,0.079515,0.093670,0.079795,0.068556,0.072754,0.094806
121030268141,Pinellas,0.088346,0.117664,0.081842,0.074531,0.080925,0.093679
121030268142,Pinellas,0.092212,0.119225,0.084851,0.079494,0.090132,0.095599
121030268151,Pinellas,0.090581,0.129785,0.080523,0.073706,0.082924,0.094035
121030268152,Pinellas,0.100220,0.161073,0.086478,0.074841,0.082455,0.094049
121030268153,Pinellas,0.084413,0.110160,0.080184,0.072451,0.082980,0.093585
121030268161,Pinellas,0.078201,0.108743,0.071624,0.069974,0.074213,0.092505
121030268162,Pinellas,0.070718,0.075606,0.070456,0.068723,0.069092,0.092663
121030268163,Pinellas,0.069554,0.077694,0.067778,0.064626,0.071855,0.093207
121030268164,Pinellas,0.071096,0.077373,0.069425,0.068500,0.073727,0.092755
121030268171,Pinellas,0.094077,0.155610,0.083869,0.071802,0.081458,0.093936
121030268172,Pinellas,0.087459,0.139551,0.077630,0.068143,0.075558,0.093010
121030268173,Pinellas,0.079949,0.116210,0.071627,0.069473,0.077462,0.092707
121030268181,Pinellas,0.073456,0.074028,0.077843,0.067769,0.069090,0.093284
121030268182,Pinellas,0.084752,0.087790,0.089316,0.077058,0.070829,0.094568
121030268183,Pinellas,0.071339,0.070290,0.074161,0.067128,0.069671,0.091978
121030268191,Pinellas,0.096227,0.130327,0.093242,0.073445,0.073761,0.092361
121030268192,Pinellas,0.096153,0.115202,0.095072,0.080007,0.078842,0.093935
121030268201,Pinellas,0.100765,0.124994,0.092805,0.088715,0.089169,0.097993
121030268202,Pinellas,0.094329,0.120088,0.082331,0.084181,0.083450,0.099384
121030268203,Pinellas,0.097386,0.118458,0.089739,0.088172,0.091624,0.099369
121030268204,Pinellas,0.099916,0.123528,0.091875,0.090673,0.093266,0.100396
121030268211,Pinellas,0.091879,0.111336,0.087683,0.081565,0.089552,0.097642
121030268212,Pinellas,0.098458,0.121707,0.088935,0.088494,0.092613,0.099481
121030269041,Pinellas,0.089483,0.097341,0.088749,0.084725,0.082116,0.099071
121030269042,Pinellas,0.111819,0.145577,0.101208,0.093785,0.091922,0.097863
121030269043,Pinellas,0.091900,0.109326,0.087246,0.083953,0.080294,0.099170
121030269081,Pinellas,0.091299,0.096956,0.090733,0.087331,0.090630,0.099766
121030269082,Pinellas,0.092950,0.100812,0.096486,0.088581,0.079862,0.099914
121030269083,Pinellas,0.093981,0.102409,0.099636,0.087571,0.080048,0.099178
121030269084,Pinellas,0.090996,0.095683,0.093461,0.085499,0.085771,0.098781
121030269091,Pinellas,0.088981,0.091532,0.092816,0.087133,0.077576,0.099128
121030269092,Pinellas,0.093343,0.105731,0.092029,0.084591,0.088330,0.098070
121030269093,Pinellas,0.090386,0.094021,0.093356,0.085230,0.084770,0.097962
121030269111,Pinellas,0.108238,0.119794,0.116471,0.095165,0.088955,0.097976
121030269112,Pinellas,0.097925,0.104309,0.103263,0.089511,0.084506,0.096810
121030269113,Pinellas,0.107646,0.120760,0.114653,0.092826,0.088987,0.097581
121030269121,Pinellas,0.088696,0.094270,0.091016,0.082708,0.079167,0.096362
121030269122,Pinellas,0.098090,0.105229,0.103034,0.089504,0.084122,0.096822
121030269123,Pinellas,0.092021,0.098419,0.097256,0.083163,0.076884,0.096363
121030269131,Pinellas,0.100618,0.113608,0.102136,0.090443,0.087561,0.097073
121030269132,Pinellas,0.100362,0.125832,0.095351,0.087406,0.084315,0.096704
121030269133,Pinellas,0.100029,0.110312,0.103933,0.089902,0.084976,0.096862
121030269141,Pinellas,0.108270,0.123567,0.113526,0.096901,0.086204,0.098617
121030269142,Pinellas,0.097920,0.108173,0.101264,0.087652,0.085780,0.098746
121030269151,Pinellas,0.106228,0.110903,0.112362,0.098269,0.093185,0.098157
121030269152,Pinellas,0.106345,0.105110,0.117718,0.098475,0.093684,0.098160
121030269161,Pinellas,0.096774,0.103230,0.103399,0.087235,0.085281,0.097851
121030269162,Pinellas,0.097196,0.105551,0.101684,0.086424,0.086309,0.097609
121030269163,Pinellas,0.104665,0.122581,0.106467,0.090058,0.088234,0.098174
121030269164,Pinellas,0.106800,0.119027,0.112277,0.093558,0.087667,0.097955
121030269171,Pinellas,0.099214,0.125939,0.092928,0.085699,0.087061,0.096986
121030270001,Pinellas,0.105657,0.122348,0.113260,0.089668,0.080606,0.098872
121030270002,Pinellas,0.111802,0.120584,0.117931,0.104209,0.092736,0.098465
121030270003,Pinellas,0.120248,0.136592,0.118497,0.113384,0.103264,0.098817
121030271051,Pinellas,0.096503,0.105516,0.100037,0.091100,0.082590,0.099223
121030271052,Pinellas,0.093043,0.097755,0.099105,0.088789,0.079413,0.099126
121030271061,Pinellas,,,,,,0.077225
121030271062,Pinellas,0.105660,0.125842,0.105339,0.097098,0.095782,0.099772
121030271063,Pinellas,,,,,,
121030271071,Pinellas,0.090754,0.092480,0.096535,0.087405,0.079662,0.098373
121030271081,Pinellas,0.098830,0.108025,0.106010,0.089078,0.080457,0.098420
