GEOID20,county,TotPop,AutoOwn0,A_drive,no_transit,A_transit,transit_share
120530405021,Hernando,1290,69,9664,True,0.0,0.0
120530405022,Hernando,2102,52,8535,False,4627.0,0.35154231879653547
120530406011,Hernando,913,8,3832,True,0.0,0.0
120530406012,Hernando,1657,47,6454,True,0.0,0.0
120530406021,Hernando,766,11,6634,True,0.0,0.0
120530406022,Hernando,2160,18,3701,True,0.0,0.0
120530407011,Hernando,2923,0,4170,True,0.0,0.0
120530407012,Hernando,3261,0,6640,True,0.0,0.0
120530407021,Hernando,2062,69,4747,True,0.0,0.0
120530407022,Hernando,2577,6,8933,True,0.0,0.0
120530408011,Hernando,1546,44,9937,True,0.0,0.0
120530408012,Hernando,1118,31,10007,False,1746.0,0.14855781502595083
120530408013,Hernando,1040,42,9991,True,0.0,0.0
120530408021,Hernando,2867,0,8947,True,0.0,0.0
120530408022,Hernando,1682,30,12371,True,0.0,0.0
120530409011,Hernando,2728,134,14307,False,882.0,0.05806833892948845
120530409012,Hernando,1973,0,12563,False,430.0,0.033094743323327944
120530409013,Hernando,955,0,14236,False,44.0,0.0030812324929971988
120530409051,Hernando,2971,82,13491,True,0.0,0.0
120530409052,Hernando,1717,0,12877,True,0.0,0.0
120530409053,Hernando,1353,0,15276,False,160.0,0.010365379632029024
120530409061,Hernando,1400,39,16193,False,393.0,0.0236946822621488
120530409062,Hernando,1614,56,15975,False,530.0,0.03211148136928203
120530409063,Hernando,3789,17,15659,True,0.0,0.0
120530409071,Hernando,1514,0,12196,False,181.0,0.014623899167811262
120530409072,Hernando,1298,0,16222,False,108.0,0.0066135946111451314
120530409081,Hernando,4168,33,10683,True,0.0,0.0
120530409082,Hernando,3189,0,16981,False,340.0,0.019629351654061544
120530409091,Hernando,2764,97,14499,True,0.0,0.0
120530409092,Hernando,2005,28,13354,True,0.0,0.0
120530409101,Hernando,2640,67,10773,True,0.0,0.0
120530409102,Hernando,1194,12,4794,True,0.0,0.0
120530409111,Hernando,2417,14,16044,False,2054.0,0.11349320366891369
120530409112,Hernando,3009,47,13378,True,0.0,0.0
120530410031,Hernando,1384,9,14620,False,3680.0,0.2010928961748634
120530410032,Hernando,1742,113,10294,True,0.0,0.0
120530410041,Hernando,2588,20,13932,False,2185.0,0.13557113606750637
120530410042,Hernando,2575,87,12826,True,0.0,0.0
120530410043,Hernando,1647,28,12042,False,3244.0,0.21222033233023682
120530410051,Hernando,1349,35,13920,False,2055.0,0.12863849765258217
120530410052,Hernando,1134,8,14160,False,2103.0,0.12931193506733074
120530410061,Hernando,2818,15,13184,True,0.0,0.0
120530410062,Hernando,2385,15,13276,False,5347.0,0.2871180797938034
120530410063,Hernando,2555,42,15087,False,2114.0,0.12289983140515086
120530411031,Hernando,2255,53,11903,False,1107.0,0.08508839354342813
120530411032,Hernando,2313,70,12281,False,2761.0,0.18355271905331738
120530411041,Hernando,1225,30,12784,False,2319.0,0.15354565318148714
120530411042,Hernando,1742,6,12386,False,673.0,0.05153533961252776
120530411051,Hernando,1566,87,14324,False,2690.0,0.15810508992594335
120530411052,Hernando,1463,57,11309,False,2990.0,0.2091055318553745
120530411053,Hernando,1843,20,13270,False,182.0,0.01352958667856081
120530411061,Hernando,1923,18,13181,False,3471.0,0.20844343021859235
120530411062,Hernando,2515,11,14004,False,2864.0,0.16978894949015888
120530412011,Hernando,1257,0,12427,True,0.0,0.0
120530412012,Hernando,1426,0,11335,True,0.0,0.0
120530412013,Hernando,1596,56,12628,False,1773.0,0.12311645024651066
120530412031,Hernando,1671,21,10644,False,2690.0,0.2017399130043498
120530412032,Hernando,2513,30,11045,False,2964.0,0.21157827111142838
120530412041,Hernando,1759,25,8928,False,4174.0,0.3185773164402381
120530412042,Hernando,653,25,9566,True,0.0,0.0
120530412043,Hernando,862,48,10042,True,0.0,0.0
120530413021,Hernando,1581,0,11212,False,2143.0,0.16046424560089853
120530413022,Hernando,1842,45,11511,False,2425.0,0.1740097588978186
120530413031,Hernando,715,0,8973,True,0.0,0.0
120530413032,Hernando,1017,0,10390,True,0.0,0.0
120530413033,Hernando,632,27,9940,True,0.0,0.0
120530413041,Hernando,1823,115,9260,True,0.0,0.0
120530413051,Hernando,747,0,8150,True,0.0,0.0
120530413052,Hernando,598,40,9046,True,0.0,0.0
120530414011,Hernando,1450,48,11945,False,1982.0,0.14231349177855962
120530414012,Hernando,1742,13,13235,False,2331.0,0.14974945393807015
120530414013,Hernando,2157,21,9150,True,0.0,0.0
120530414021,Hernando,987,15,10872,True,0.0,0.0
120530414022,Hernando,1995,0,12159,True,0.0,0.0
120530414023,Hernando,696,0,10631,True,0.0,0.0
120530414024,Hernando,1819,0,13076,False,463.0,0.03419750350838319
120530415011,Hernando,1947,31,8098,True,0.0,0.0
120530415012,Hernando,1385,0,5960,True,0.0,0.0
120530415021,Hernando,1405,26,9064,False,3132.0,0.2568055100032798
120530415022,Hernando,2130,34,8584,True,0.0,0.0
120530416001,Hernando,1913,58,5475,True,0.0,0.0
120530416002,Hernando,1761,14,7996,True,0.0,0.0
120530416003,Hernando,1772,0,6912,True,0.0,0.0
120570001011,Hillsborough,2740,117,85354,True,0.0,0.0
120570001012,Hillsborough,1355,42,86587,True,0.0,0.0
120570001021,Hillsborough,773,104,90733,False,160505.0,0.6388563831904409
120570001022,Hillsborough,1553,36,91780,False,160014.0,0.6354956829789431
120570001023,Hillsborough,1057,273,94596,False,123422.0,0.566109220339605
120570001024,Hillsborough,2571,234,92620,False,141811.0,0.604915732134402
120570002011,Hillsborough,2178,294,104560,False,42935.0,0.29109461337672465
120570002012,Hillsborough,1631,114,108390,False,80888.0,0.4273502467270364
120570002021,Hillsborough,1654,12,98027,False,155085.0,0.6127129492082556
120570002022,Hillsborough,2133,167,93079,False,125457.0,0.5740793278910569
120570002023,Hillsborough,2072,99,88001,False,140917.0,0.6155785040931687
120570003001,Hillsborough,1281,152,107651,False,158505.0,0.5955341979891492
120570003002,Hillsborough,792,12,104635,False,159612.0,0.6040257789113973
120570003003,Hillsborough,2035,38,100549,False,158613.0,0.6120225959052639
120570003004,Hillsborough,2062,194,117643,False,158455.0,0.5739085397214033
120570003005,Hillsborough,776,128,109196,False,159593.0,0.5937482560670265
120570003006,Hillsborough,1293,26,99676,False,158377.0,0.6137382630699895
120570004011,Hillsborough,818,44,103401,False,125687.0,0.5486406970247242
120570004012,Hillsborough,863,56,100318,False,73946.0,0.4243331956112565
120570004013,Hillsborough,1020,35,110490,False,62726.0,0.36212590060964345
120570004021,Hillsborough,1477,50,115393,False,160322.0,0.5814772500589377
120570004022,Hillsborough,629,0,118633,False,160192.0,0.5745252398457814
120570004023,Hillsborough,856,35,118606,False,160153.0,0.5745213607453032
120570005001,Hillsborough,880,11,93319,True,0.0,0.0
120570005002,Hillsborough,715,20,100968,False,117411.0,0.5376478507548803
120570005003,Hillsborough,1060,0,117232,False,195027.0,0.624568066893188
120570005004,Hillsborough,1268,21,110393,False,126416.0,0.5338310621640224
120570006011,Hillsborough,1058,38,122688,False,135720.0,0.5252159375870716
120570006012,Hillsborough,2129,70,125849,False,143875.0,0.5334156396909433
120570006013,Hillsborough,2248,10,125851,False,44097.0,0.25947348600748465
120570006021,Hillsborough,1838,35,135460,False,164230.0,0.5479995995862391
120570006022,Hillsborough,862,33,133745,False,164245.0,0.5511762139669116
120570007001,Hillsborough,2436,245,118888,False,159666.0,0.5731958614846673
120570007002,Hillsborough,1355,83,124444,False,159469.0,0.5616826281290396
120570007003,Hillsborough,1189,67,119932,False,82971.0,0.40891953297881256
120570007004,Hillsborough,1346,88,116078,False,76403.0,0.3969378795829199
120570008001,Hillsborough,2101,74,102667,False,159724.0,0.6087251468228713
120570008002,Hillsborough,1452,77,90841,False,131333.0,0.5911267745100687
120570009011,Hillsborough,785,87,98720,False,159951.0,0.6183569089693085
120570009012,Hillsborough,980,86,94475,False,159589.0,0.6281448768814157
120570009013,Hillsborough,1026,6,92568,False,152415.0,0.6221452100758011
120570009021,Hillsborough,2684,206,97606,False,204489.0,0.6769029609890929
120570009022,Hillsborough,556,76,103326,False,141834.0,0.5785364659813999
120570009023,Hillsborough,1250,196,93459,False,152407.0,0.6198783076960621
120570010011,Hillsborough,2102,150,104498,False,105790.0,0.5030719774785056
120570010012,Hillsborough,2380,176,124280,False,174356.0,0.5838411979801498
120570010021,Hillsborough,1450,64,101080,False,146978.0,0.5925146538309589
120570010022,Hillsborough,1047,45,106914,False,174418.0,0.6199721325693487
120570010023,Hillsborough,755,54,108790,False,174199.0,0.6155680962864281
120570010024,Hillsborough,1965,220,109302,False,174281.0,0.6145678690189469
120570011001,Hillsborough,643,5,134596,False,60817.0,0.3112228971460445
120570011002,Hillsborough,858,12,131801,False,69757.0,0.34608896694747915
120570011003,Hillsborough,1097,11,114557,False,55653.0,0.3269666882086834
120570012001,Hillsborough,392,0,141075,False,140556.0,0.49907858154819607
120570012002,Hillsborough,1329,118,142004,False,108366.0,0.4328234213364221
120570012003,Hillsborough,817,78,131297,False,78484.0,0.37412349068790784
120570013001,Hillsborough,1799,504,130772,False,127510.0,0.49368519680039646
120570013002,Hillsborough,1039,40,132624,False,127382.0,0.48991946339699854
120570013003,Hillsborough,1036,0,139424,False,99234.0,0.41580001508434666
120570013004,Hillsborough,1057,19,129129,False,130187.0,0.5020399821067733
120570013005,Hillsborough,1330,0,134324,False,95608.0,0.41580989162013116
120570014001,Hillsborough,1959,45,129497,False,95572.0,0.4246342232826378
120570014002,Hillsborough,1102,8,137289,False,123137.0,0.47282913380384445
120570014003,Hillsborough,1103,42,144874,False,154970.0,0.5168354210856312
120570014004,Hillsborough,624,7,142292,False,155125.0,0.52157408621565
120570015001,Hillsborough,837,0,134087,False,140584.0,0.5118268765177248
120570015002,Hillsborough,686,6,143027,False,108672.0,0.43175380116726725
120570015003,Hillsborough,1063,10,140990,False,81859.0,0.36732944729390754
120570016001,Hillsborough,531,33,143742,False,112386.0,0.4387884182908546
120570016002,Hillsborough,743,10,143834,False,108922.0,0.4309373466900885
120570016003,Hillsborough,390,6,144824,False,117838.0,0.44862979799133484
120570017001,Hillsborough,1061,13,124242,False,122251.0,0.4959613457582974
120570017002,Hillsborough,831,8,126027,False,73130.0,0.3671977384676411
120570017003,Hillsborough,861,9,122413,False,174263.0,0.5873848912618479
120570017004,Hillsborough,1042,79,124263,False,132453.0,0.5159514794558968
120570017005,Hillsborough,435,18,129049,False,130968.0,0.5036901433367819
120570018001,Hillsborough,654,36,117314,False,174441.0,0.597902349574129
120570018002,Hillsborough,1710,233,105692,False,174208.0,0.6223937120400143
120570018003,Hillsborough,778,10,116502,False,174211.0,0.5992542473160815
120570018004,Hillsborough,919,38,122737,False,173996.0,0.5863722605844311
120570018005,Hillsborough,532,86,126165,False,170356.0,0.5745158015789775
120570019001,Hillsborough,808,17,117252,False,174563.0,0.5981974881346058
120570019002,Hillsborough,1649,139,123221,False,92915.0,0.42989136469630235
120570019003,Hillsborough,1088,33,133519,False,170513.0,0.560838990632565
120570020001,Hillsborough,1079,42,128635,False,174226.0,0.5752672017856376
120570020002,Hillsborough,981,45,129800,False,115657.0,0.4711904732804524
120570020003,Hillsborough,1246,43,133956,False,114979.0,0.46188362423925927
120570021001,Hillsborough,712,0,133474,False,174166.0,0.566135743076323
120570021002,Hillsborough,871,28,139625,False,122359.0,0.46704760596066935
120570021003,Hillsborough,1573,110,143665,False,161462.0,0.5291632664431531
120570022001,Hillsborough,727,35,143551,False,117439.0,0.4499750948312196
120570022002,Hillsborough,571,23,143665,False,118316.0,0.45162053736721364
120570022003,Hillsborough,583,26,160162,False,162683.0,0.5039043503848596
120570023001,Hillsborough,1441,22,134982,False,104791.0,0.4370425360653618
120570023002,Hillsborough,696,24,144085,False,163536.0,0.5316152018230225
120570023003,Hillsborough,1327,26,143438,False,145610.0,0.5037571614403145
120570024001,Hillsborough,459,18,138657,False,155533.0,0.5286821441925287
120570024002,Hillsborough,1340,38,149990,False,154130.0,0.5068065237406287
120570024003,Hillsborough,1507,147,141696,False,95557.0,0.40276413786127047
120570024004,Hillsborough,520,9,159042,False,184713.0,0.5373390932495528
120570025001,Hillsborough,1881,137,138428,False,134752.0,0.4932718354198697
120570025002,Hillsborough,1485,35,155017,False,64780.0,0.2947264976319058
120570025003,Hillsborough,1610,110,126443,False,175321.0,0.5809871290147267
120570025004,Hillsborough,1659,105,158796,False,151054.0,0.4875068581571728
120570026001,Hillsborough,541,63,141573,False,106921.0,0.4302759825186926
120570026002,Hillsborough,600,43,132936,False,73653.0,0.3565194661864862
120570027001,Hillsborough,1467,165,162824,False,184604.0,0.5313446239220788
120570027002,Hillsborough,1364,99,160308,False,127933.0,0.44384039744519344
120570027003,Hillsborough,1187,73,155071,False,85198.0,0.3545942256387632
120570027004,Hillsborough,1147,29,155750,False,84821.0,0.3525819820344098
120570027005,Hillsborough,1808,100,157008,False,62687.0,0.2853364892236965
120570028001,Hillsborough,620,10,143850,False,135909.0,0.4858074271069027
120570028002,Hillsborough,1014,0,142208,False,80129.0,0.3603943563149633
120570028003,Hillsborough,684,11,148017,False,83993.0,0.3620231886556614
120570028004,Hillsborough,999,0,157397,False,115818.0,0.42390791135186573
120570029001,Hillsborough,712,46,146312,False,139341.0,0.48779813269946404
120570029002,Hillsborough,1024,44,149959,False,110451.0,0.42414269805307014
120570029003,Hillsborough,537,34,151311,False,161885.0,0.5168808030753905
120570030001,Hillsborough,742,19,141941,False,101904.0,0.4179048165843056
120570030002,Hillsborough,1235,163,155513,False,163065.0,0.5118526703036619
120570030003,Hillsborough,670,38,155327,False,138514.0,0.47139099036553783
120570031001,Hillsborough,802,45,142665,False,121785.0,0.4605218377765173
120570031002,Hillsborough,730,17,142168,False,108748.0,0.43340400771572957
120570031003,Hillsborough,599,34,136871,False,92275.0,0.402690860848542
120570031004,Hillsborough,606,142,144894,False,102024.0,0.41318980390251014
120570032001,Hillsborough,1285,113,146290,False,136187.0,0.48211712812016555
120570032002,Hillsborough,736,117,151389,False,174087.0,0.53486893042805
120570032003,Hillsborough,712,9,151472,False,132698.0,0.46696695639933844
120570033001,Hillsborough,760,50,145702,False,166792.0,0.5337446478972396
120570033002,Hillsborough,886,179,153397,False,165472.0,0.5189341077370331
120570033003,Hillsborough,270,27,161303,False,166805.0,0.5083844343935533
120570034001,Hillsborough,863,63,141308,False,170607.0,0.5469663209528237
120570034002,Hillsborough,636,121,122441,False,170727.0,0.5823520984554931
120570034003,Hillsborough,1315,123,135272,False,170887.0,0.5581642218585767
120570035001,Hillsborough,732,16,158777,False,165567.0,0.5104672816515798
120570035002,Hillsborough,334,46,155416,False,165783.0,0.5161379705416268
120570035003,Hillsborough,718,128,141929,False,165558.0,0.5384227625883371
120570035004,Hillsborough,630,7,139462,False,170715.0,0.5503792995612182
120570036001,Hillsborough,1100,25,140909,False,168044.0,0.5439144465339388
120570036002,Hillsborough,1461,55,137275,False,173586.0,0.5584039168631639
120570036003,Hillsborough,1545,60,143221,False,168981.0,0.5412553410932666
120570036004,Hillsborough,776,26,149385,False,162903.0,0.5216434829388257
120570037001,Hillsborough,580,40,130351,True,0.0,0.0
120570037002,Hillsborough,251,12,129886,False,236067.0,0.645074640732553
120570038001,Hillsborough,468,67,160951,False,242937.0,0.6014959592758389
120570038002,Hillsborough,609,57,144677,False,241879.0,0.6257282256645867
120570039001,Hillsborough,1353,100,152332,False,242604.0,0.6142868717969494
120570039002,Hillsborough,889,278,158137,False,131270.0,0.4535826707716123
120570040001,Hillsborough,773,156,161533,False,168573.0,0.5106632415042441
120570041001,Hillsborough,536,74,166061,False,181229.0,0.5218376572892971
120570041002,Hillsborough,1028,193,169385,False,190801.0,0.5297290844174954
120570042001,Hillsborough,740,10,168370,False,161099.0,0.48896557794511775
120570042002,Hillsborough,480,70,167159,False,159143.0,0.4877169002948189
120570043001,Hillsborough,565,121,146975,False,69307.0,0.32044737888497427
120570043002,Hillsborough,408,60,169939,False,98501.0,0.36693860825510355
120570043003,Hillsborough,835,163,158972,False,74909.0,0.3202868125243179
120570044001,Hillsborough,580,67,184210,False,89970.0,0.32814209643300024
120570044002,Hillsborough,747,44,172169,False,98150.0,0.36308953495684726
120570044003,Hillsborough,763,13,169614,False,55422.0,0.24628059510478323
120570045001,Hillsborough,997,17,157891,False,78028.0,0.3307406355571192
120570045002,Hillsborough,574,49,177748,False,68292.0,0.27756462363843276
120570045003,Hillsborough,685,8,169877,False,78193.0,0.31520538557665173
120570045004,Hillsborough,999,53,162845,False,90569.0,0.35739540830419786
120570045005,Hillsborough,529,41,185298,False,90351.0,0.3277755406331966
120570046001,Hillsborough,845,37,158231,False,75066.0,0.32176153143846686
120570046002,Hillsborough,3390,13,165157,False,87900.0,0.34735257274052883
120570046003,Hillsborough,668,48,157237,False,78253.0,0.3322986114060045
120570047001,Hillsborough,334,26,173848,False,147529.0,0.45905276357673386
120570047002,Hillsborough,592,21,166022,False,42576.0,0.20410550436725183
120570047003,Hillsborough,751,0,165994,False,128537.0,0.43641246592039545
120570047004,Hillsborough,842,0,172511,False,144198.0,0.4553012386765138
120570048001,Hillsborough,659,87,169139,False,128727.0,0.4321641274935709
120570048002,Hillsborough,549,17,171899,False,140826.0,0.4503189703413542
120570048003,Hillsborough,744,22,171366,False,131801.0,0.43474718554460084
120570048004,Hillsborough,659,36,161306,False,132568.0,0.4511048952952626
120570048005,Hillsborough,838,35,168971,False,132220.0,0.43899054088601586
120570048006,Hillsborough,608,42,164751,False,133899.0,0.4483475640381718
120570049001,Hillsborough,849,66,171553,False,131040.0,0.43305694447657417
120570049002,Hillsborough,371,43,175830,False,139928.0,0.44314950056688984
120570049003,Hillsborough,512,41,163020,False,143665.0,0.4684448212335132
120570049004,Hillsborough,1458,13,153471,False,140804.0,0.4784776144762552
120570049005,Hillsborough,1512,74,162864,False,147983.0,0.4760637870077562
120570050001,Hillsborough,1565,131,173248,False,132181.0,0.43277160976855505
120570050002,Hillsborough,964,123,168704,False,98301.0,0.3681616449130166
120570050003,Hillsborough,3702,98,142969,False,150999.0,0.5136579491645349
120570051011,Hillsborough,1532,278,140734,False,152626.0,0.5202686119443687
120570051021,Hillsborough,1888,38,118205,False,88671.0,0.42861907616156536
120570051022,Hillsborough,1936,109,121086,False,113630.0,0.4841169754085789
120570053011,Hillsborough,767,24,136931,False,110237.0,0.44600029129984464
120570053012,Hillsborough,1196,7,146220,False,106061.0,0.42040819562313453
120570053013,Hillsborough,1425,0,136851,False,111083.0,0.4480345575838731
120570053021,Hillsborough,1116,37,146618,True,0.0,0.0
120570053022,Hillsborough,767,79,148502,True,0.0,0.0
120570054011,Hillsborough,750,0,81373,True,0.0,0.0
120570054012,Hillsborough,1076,0,77547,True,0.0,0.0
120570054013,Hillsborough,879,0,91803,True,0.0,0.0
120570054014,Hillsborough,1425,113,102456,False,72116.0,0.4131017574410558
120570054015,Hillsborough,702,14,106499,False,98817.0,0.48129225194334585
120570054016,Hillsborough,553,14,104468,True,0.0,0.0
120570055001,Hillsborough,758,36,151949,False,147668.0,0.4928558793392898
120570055002,Hillsborough,286,0,153244,False,149488.0,0.493796493267973
120570055003,Hillsborough,486,107,149946,False,145515.0,0.49250154842771127
120570055004,Hillsborough,903,0,135634,False,102586.0,0.43063554697338596
120570057001,Hillsborough,796,0,157471,False,135821.0,0.46309139015043027
120570057002,Hillsborough,1211,12,157711,False,149668.0,0.4869168030346901
120570057003,Hillsborough,718,97,159798,False,148499.0,0.4816751379351729
120570057004,Hillsborough,671,0,161072,False,149199.0,0.480866726184529
120570057005,Hillsborough,617,0,160432,False,145224.0,0.47512235977700423
120570058001,Hillsborough,842,10,157623,False,123088.0,0.4384865573490173
120570058002,Hillsborough,716,12,149600,False,123197.0,0.451606872509595
120570058003,Hillsborough,1193,8,149117,False,63451.0,0.29849742200143015
120570058004,Hillsborough,423,0,143389,False,48487.0,0.2526996601972107
120570058005,Hillsborough,704,0,138865,False,43280.0,0.23761289082873535
120570058006,Hillsborough,979,0,134897,False,48494.0,0.2644295521590482
120570059001,Hillsborough,1388,20,157616,False,59270.0,0.27327720553654916
120570059002,Hillsborough,1335,0,157420,False,43432.0,0.2162388226156573
120570059003,Hillsborough,1241,0,136350,True,0.0,0.0
120570059004,Hillsborough,1236,0,131362,True,0.0,0.0
120570059005,Hillsborough,494,0,120666,True,0.0,0.0
120570059006,Hillsborough,664,0,128715,True,0.0,0.0
120570060001,Hillsborough,686,0,139897,False,142173.0,0.504034459531322
120570060002,Hillsborough,1362,36,139905,False,145456.0,0.5097262765409428
120570060003,Hillsborough,1103,0,136082,False,47290.0,0.2578910629758087
120570060004,Hillsborough,423,0,131529,False,48383.0,0.2689259193383432
120570060005,Hillsborough,565,0,138459,False,21323.0,0.13345057641035912
120570060006,Hillsborough,747,20,140830,False,25365.0,0.15262192003369535
120570060007,Hillsborough,540,51,137618,False,45569.0,0.24875673492114614
120570061011,Hillsborough,608,0,145793,False,55406.0,0.2753791022818205
120570061012,Hillsborough,1029,20,139766,True,0.0,0.0
120570061013,Hillsborough,659,13,133857,False,110987.0,0.4532967930600709
120570061014,Hillsborough,1020,8,144977,False,67246.0,0.31686480730175337
120570061031,Hillsborough,367,46,137302,True,0.0,0.0
120570061032,Hillsborough,548,4,128782,False,21616.0,0.1437253154962167
120570061033,Hillsborough,513,0,132919,True,0.0,0.0
120570061034,Hillsborough,321,79,140772,False,26669.0,0.15927401293589982
