GEOID20,county,r_route,r_band10,r_band20,r_band30,r_band40,r_proximity
120570001011,Hillsborough,0.091029,0.076778,0.094688,0.121908,0.081475,0.090808
120570001012,Hillsborough,0.097658,0.088125,0.099911,0.124037,0.083565,0.090670
120570001013,Hillsborough,0.091304,0.084721,0.090326,0.130816,0.073374,0.091035
120570001014,Hillsborough,0.092359,0.089349,0.091575,0.115336,0.080515,0.089807
120570001021,Hillsborough,0.101253,0.101166,0.100257,0.117744,0.083612,0.089595
120570001022,Hillsborough,0.093519,0.084151,0.097080,0.112370,0.081431,0.090393
120570001023,Hillsborough,0.100324,0.090378,0.104145,0.122145,0.083174,0.090679
120570001024,Hillsborough,0.103612,0.112637,0.104473,0.090608,0.084180,0.090742
120570002011,Hillsborough,0.106609,0.118232,0.103016,0.115029,0.083549,0.089820
120570002012,Hillsborough,0.097162,0.111265,0.090083,0.088979,0.078899,0.089837
120570002021,Hillsborough,0.106775,0.101846,0.110078,0.119585,0.087131,0.089792
120570002022,Hillsborough,0.083628,0.084993,0.079602,0.110725,0.072759,0.089986
120570002023,Hillsborough,0.091704,0.091632,0.089780,0.112482,0.078608,0.089711
120570003011,Hillsborough,0.092316,0.102896,0.087738,0.084593,0.077012,0.089705
120570003012,Hillsborough,0.090404,0.099917,0.087634,0.086849,0.078123,0.089531
120570003013,Hillsborough,0.089095,0.101547,0.082008,0.076726,0.075497,0.089620
120570003014,Hillsborough,0.092030,0.102687,0.086477,0.082838,0.076593,0.089614
120570003021,Hillsborough,0.093639,0.092813,0.092886,0.111151,0.079066,0.089562
120570003022,Hillsborough,0.093908,0.096002,0.096301,0.086427,0.080142,0.089569
120570004011,Hillsborough,0.088205,0.090378,0.089420,0.085087,0.076834,0.089995
120570004012,Hillsborough,0.097949,0.111132,0.092669,0.084743,0.080128,0.090142
120570004013,Hillsborough,0.089395,0.096635,0.087173,0.080701,0.076162,0.089915
120570004021,Hillsborough,0.089413,0.097275,0.088140,0.076630,0.073480,0.089744
120570004022,Hillsborough,0.089060,0.096423,0.086953,0.079911,0.075548,0.089627
120570004023,Hillsborough,0.092316,0.104207,0.087319,0.078585,0.076620,0.089640
120570005001,Hillsborough,0.097759,0.105140,0.098975,0.087985,0.080240,0.090132
120570005002,Hillsborough,0.093146,0.104555,0.091332,0.082922,0.079613,0.089853
120570005003,Hillsborough,0.091903,0.098375,0.090862,0.082000,0.079758,0.090134
120570005004,Hillsborough,0.089699,0.095748,0.089773,0.081015,0.079847,0.090292
120570006011,Hillsborough,0.096193,0.104199,0.098750,0.079978,0.081783,0.090177
120570006012,Hillsborough,0.092538,0.101927,0.087323,0.081109,0.081551,0.089950
120570006013,Hillsborough,0.098180,0.110251,0.096305,0.079788,0.082431,0.089985
120570006021,Hillsborough,0.091552,0.103681,0.085536,0.073169,0.075544,0.089718
120570006022,Hillsborough,0.089191,0.100877,0.083585,0.071063,0.075210,0.089642
120570007011,Hillsborough,0.084690,0.093780,0.079380,0.073785,0.075741,0.089572
120570007012,Hillsborough,0.084577,0.093706,0.079379,0.072288,0.076474,0.089540
120570007021,Hillsborough,0.107120,0.122146,0.103004,0.082259,0.084996,0.089374
120570007022,Hillsborough,0.107852,0.125257,0.102081,0.082733,0.084541,0.089299
120570008001,Hillsborough,0.084146,0.087944,0.083598,0.082332,0.075221,0.089752
120570008002,Hillsborough,0.103035,0.116555,0.100908,0.088046,0.085797,0.090364
120570009011,Hillsborough,0.099486,0.111073,0.098441,0.087542,0.080707,0.090453
120570009012,Hillsborough,0.099449,0.104877,0.101344,0.090120,0.082422,0.090597
120570009013,Hillsborough,0.100424,0.104233,0.103174,0.089673,0.086213,0.090349
120570009021,Hillsborough,0.105519,0.113170,0.107456,0.091956,0.084715,0.090641
120570009022,Hillsborough,0.105017,0.114625,0.105211,0.091645,0.087311,0.090377
120570009023,Hillsborough,0.108911,0.117806,0.111579,0.092734,0.084730,0.090529
120570009024,Hillsborough,0.108528,0.112456,0.113675,0.093421,0.087413,0.090467
120570010011,Hillsborough,0.093701,0.105011,0.093114,0.077925,0.074922,0.089274
120570010012,Hillsborough,0.097656,0.111110,0.095743,0.077161,0.079474,0.089267
120570010021,Hillsborough,0.101412,0.115634,0.097678,0.079296,0.079471,0.089785
120570010022,Hillsborough,0.101079,0.114338,0.097331,0.077342,0.081432,0.089831
120570010023,Hillsborough,0.101035,0.110479,0.098904,0.084276,0.082546,0.089842
120570010024,Hillsborough,0.098477,0.107966,0.095883,0.079565,0.082851,0.089899
120570011001,Hillsborough,0.102203,0.118589,0.091109,0.074354,0.082565,0.089277
120570011002,Hillsborough,0.084938,0.095196,0.080652,0.068028,0.078029,0.089204
120570011003,Hillsborough,0.084476,0.089993,0.085296,0.072438,0.075263,0.089074
120570012001,Hillsborough,0.095368,0.108285,0.086000,0.072738,0.079679,0.089373
120570012002,Hillsborough,0.093151,0.106508,0.083397,0.070173,0.078425,0.089199
120570013001,Hillsborough,0.090719,0.102005,0.084560,0.072491,0.075717,0.089642
120570013002,Hillsborough,0.085875,0.089233,0.087342,0.076476,0.079047,0.089658
120570013003,Hillsborough,0.084579,0.088579,0.085773,0.073076,0.080603,0.089180
120570013004,Hillsborough,0.081524,0.081703,0.085221,0.073597,0.079609,0.089478
120570013005,Hillsborough,0.087163,0.092912,0.087112,0.075084,0.078914,0.089190
120570014001,Hillsborough,0.078157,0.080398,0.080762,0.067177,0.075792,0.089144
120570014002,Hillsborough,0.079014,0.081785,0.081297,0.067712,0.076525,0.088951
120570014003,Hillsborough,0.084420,0.090336,0.083966,0.071066,0.077720,0.088774
120570014004,Hillsborough,0.083808,0.090791,0.081528,0.069145,0.077637,0.088930
120570015001,Hillsborough,0.098192,0.113363,0.093462,0.074002,0.080425,0.089031
120570015002,Hillsborough,0.097170,0.111549,0.091551,0.072094,0.079921,0.089011
120570015003,Hillsborough,0.094516,0.108576,0.089450,0.070767,0.077240,0.088987
120570016001,Hillsborough,0.092228,0.104484,0.083843,0.070678,0.079818,0.089117
120570016002,Hillsborough,0.096556,0.112646,0.086776,0.071378,0.081477,0.088988
120570017001,Hillsborough,0.100505,0.118565,0.087601,0.075095,0.083129,0.089098
120570017002,Hillsborough,0.096641,0.110255,0.091790,0.076038,0.083160,0.089209
120570017003,Hillsborough,0.097059,0.109948,0.094118,0.075757,0.081736,0.089213
120570017004,Hillsborough,0.089785,0.100177,0.085679,0.069852,0.079850,0.089050
120570017005,Hillsborough,0.096627,0.111829,0.090881,0.073087,0.080857,0.089134
120570018001,Hillsborough,0.100435,0.113725,0.096377,0.077772,0.081434,0.090043
